# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
1.436173558235168457e+00,1.297557711601257324e+00,1.045024871826171875e+00,7.120825648307800293e-01,7.218097448348999023e-01,7.250247001647949219e-01,0.000000000000000000e+00,3.411338329315185547e-01,2.766293706372380257e-03,2.049928009510040283e-01
1.389227628707885742e+00,1.251580834388732910e+00,1.006704330444335938e+00,6.868510246276855469e-01,7.085464000701904297e-01,7.117664813995361328e-01,0.000000000000000000e+00,3.697637319564819336e-01,2.766293706372380257e-03,2.209188342094421387e-01
1.343305945396423340e+00,1.206519722938537598e+00,9.692163467407226562e-01,6.621221303939819336e-01,6.953260898590087891e-01,6.985524892807006836e-01,0.000000000000000000e+00,3.986458778381347656e-01,2.766293706372380257e-03,2.369756102561950684e-01
1.296176195144653320e+00,1.160363316535949707e+00,9.308326244354248047e-01,6.367921233177185059e-01,6.815885305404663086e-01,6.848238706588745117e-01,0.000000000000000000e+00,4.272963404655456543e-01,2.766293706372380257e-03,2.528946399688720703e-01
1.245689868927001953e+00,1.111170053482055664e+00,8.899012804031372070e-01,6.097954511642456055e-01,6.667443513870239258e-01,6.699913740158081055e-01,0.000000000000000000e+00,4.552971124649047852e-01,2.766293706372380257e-03,2.684444487094879150e-01
1.189162850379943848e+00,1.056535601615905762e+00,8.443988561630249023e-01,5.798127651214599609e-01,6.500106453895568848e-01,6.532717943191528320e-01,0.000000000000000000e+00,4.818734526634216309e-01,2.766293706372380257e-03,2.831954658031463623e-01
1.123150944709777832e+00,9.934145808219909668e-01,7.917915582656860352e-01,5.451727509498596191e-01,6.303139925003051758e-01,6.335896253585815430e-01,0.000000000000000000e+00,5.055721998214721680e-01,2.766293706372380257e-03,2.963416874408721924e-01
1.043327689170837402e+00,9.180369377136230469e-01,7.289951443672180176e-01,5.038065314292907715e-01,6.061547994613647461e-01,6.094442605972290039e-01,0.000000000000000000e+00,5.239118337631225586e-01,2.766293706372380257e-03,3.065068721771240234e-01
9.445664882659912109e-01,8.260481357574462891e-01,6.525503396987915039e-01,4.533242583274841309e-01,5.754993557929992676e-01,5.788016915321350098e-01,0.000000000000000000e+00,5.326331853866577148e-01,2.766293706372380257e-03,3.113286495208740234e-01
8.214209079742431641e-01,7.130230069160461426e-01,5.591773390769958496e-01,3.912976086139678955e-01,5.356423258781433105e-01,5.389506816864013672e-01,0.000000000000000000e+00,5.248015522956848145e-01,2.766293706372380257e-03,3.069592118263244629e-01
6.693736314773559570e-01,5.756407976150512695e-01,4.470070004463195801e-01,3.159040808677673340e-01,4.829274117946624756e-01,4.862306118011474609e-01,0.000000000000000000e+00,4.903212189674377441e-01,2.766293706372380257e-03,2.877904176712036133e-01
4.876484572887420654e-01,4.142738282680511475e-01,3.182015419006347656e-01,2.273479998111724854e-01,4.124497175216674805e-01,4.157373309135437012e-01,0.000000000000000000e+00,4.155447483062744141e-01,2.766293706372380257e-03,2.462171316146850586e-01
2.858830392360687256e-01,2.386886179447174072e-01,1.846465021371841431e-01,1.309891790151596069e-01,3.178662955760955811e-01,3.211533129215240479e-01,0.000000000000000000e+00,2.872975468635559082e-01,2.766293706372380257e-03,1.748011708259582520e-01
9.977854043245315552e-02,7.980372011661529541e-02,7.986340671777725220e-02,4.379522800445556641e-02,1.900469958782196045e-01,1.933329552412033081e-01,0.000000000000000000e+00,1.198848336935043335e-01,2.766293706372380257e-03,8.101504296064376831e-02
3.260938078165054321e-02,1.760754175484180450e-02,8.605259656906127930e-02,9.662786498665809631e-03,7.302615791559219360e-02,7.540868222713470459e-02,0.000000000000000000e+00,6.396581232547760010e-02,2.766293706372380257e-03,4.700946062803268433e-02
1.933130174875259399e-01,1.483342498540878296e-01,2.830960452556610107e-01,8.140388131141662598e-02,2.088745236396789551e-01,2.111623287200927734e-01,0.000000000000000000e+00,1.666916906833648682e-01,2.766293706372380257e-03,1.013682931661605835e-01
2.303058952093124390e-01,1.909516155719757080e-01,3.310025930404663086e-01,1.047917231917381287e-01,2.420612871646881104e-01,2.438521534204483032e-01,0.000000000000000000e+00,6.254016607999801636e-02,2.766293706372380257e-03,4.569102823734283447e-02
1.461109519004821777e-01,1.172772720456123352e-01,2.328905761241912842e-01,6.436021625995635986e-02,1.852312386035919189e-01,1.873296797275543213e-01,0.000000000000000000e+00,5.544621869921684265e-02,2.766293706372380257e-03,4.400946572422981262e-02
6.961487233638763428e-02,4.375700652599334717e-02,1.275174021720886230e-01,2.401326783001422882e-02,1.083891987800598145e-01,1.099038869142532349e-01,0.000000000000000000e+00,1.310612261295318604e-01,2.766293706372380257e-03,8.693595975637435913e-02
3.530269861221313477e-02,1.293868198990821838e-02,6.793639063835144043e-02,7.100577466189861298e-03,6.395967304706573486e-02,6.614174693822860718e-02,0.000000000000000000e+00,1.557037830352783203e-01,2.766293706372380257e-03,1.007907986640930176e-01
3.126307204365730286e-02,1.517934445291757584e-02,4.801125451922416687e-02,8.330223150551319122e-03,8.016730844974517822e-02,8.333422988653182983e-02,0.000000000000000000e+00,1.128260344266891479e-01,2.766293706372380257e-03,7.669709622859954834e-02
4.193045571446418762e-02,3.156387805938720703e-02,4.867259785532951355e-02,1.732183806598186493e-02,1.180432066321372986e-01,1.213013082742691040e-01,0.000000000000000000e+00,5.499319359660148621e-02,2.766293706372380257e-03,4.375723004341125488e-02
5.959327146410942078e-02,4.975590854883193970e-02,5.642627179622650146e-02,2.730538509786128998e-02,1.477375030517578125e-01,1.509791612625122070e-01,0.000000000000000000e+00,4.194737970829010010e-02,2.766293706372380257e-03,3.512080013751983643e-02
7.625964283943176270e-02,6.290775537490844727e-02,6.346058845520019531e-02,3.452294319868087769e-02,1.660046428442001343e-01,1.692321747541427612e-01,0.000000000000000000e+00,7.005829364061355591e-02,2.766293706372380257e-03,4.950923100113868713e-02
8.051763474941253662e-02,6.725503504276275635e-02,6.543750315904617310e-02,3.690867871046066284e-02,1.720302402973175049e-01,1.752569079399108887e-01,0.000000000000000000e+00,6.718847900629043579e-02,2.766293706372380257e-03,4.798664152622222900e-02
7.415229827165603638e-02,6.370392441749572754e-02,6.246353313326835632e-02,3.495987132191658020e-02,1.680492013692855835e-01,1.712943464517593384e-01,0.000000000000000000e+00,4.202023893594741821e-02,2.766293706372380257e-03,3.509278595447540283e-02
6.548492610454559326e-02,5.526556074619293213e-02,5.672027915716171265e-02,3.032900765538215637e-02,1.571813076734542847e-01,1.604681015014648438e-01,0.000000000000000000e+00,4.547338187694549561e-02,2.766293706372380257e-03,3.812456876039505005e-02
5.649368837475776672e-02,4.421824216842651367e-02,4.992042854428291321e-02,2.426638826727867126e-02,1.416907459497451782e-01,1.450102627277374268e-01,0.000000000000000000e+00,7.283404469490051270e-02,2.766293706372380257e-03,5.398673936724662781e-02
4.549626260995864868e-02,3.218383342027664185e-02,4.330632090568542480e-02,1.766206137835979462e-02,1.221578866243362427e-01,1.255051195621490479e-01,0.000000000000000000e+00,8.981798589229583740e-02,2.766293706372380257e-03,6.363683193922042847e-02
3.270720317959785461e-02,2.096801064908504486e-02,3.829703107476234436e-02,1.150696724653244019e-02,9.928569197654724121e-02,1.026483848690986633e-01,0.000000000000000000e+00,7.909488677978515625e-02,2.766293706372380257e-03,5.752399563789367676e-02
2.159074135124683380e-02,1.270805485546588898e-02,3.654950112104415894e-02,6.974013522267341614e-03,7.413492351770401001e-02,7.749530673027038574e-02,0.000000000000000000e+00,5.227737501263618469e-02,2.766293706372380257e-03,4.210256040096282959e-02
1.673347875475883484e-02,9.180561639368534088e-03,3.931396827101707458e-02,5.038171075284481049e-03,5.741177871823310852e-02,6.028391420841217041e-02,0.000000000000000000e+00,3.621520102024078369e-02,2.766293706372380257e-03,3.232938423752784729e-02
1.906915940344333649e-02,1.041474658995866776e-02,4.618624970316886902e-02,5.715475883334875107e-03,5.664280056953430176e-02,5.915077403187751770e-02,0.000000000000000000e+00,4.035788029432296753e-02,2.766293706372380257e-03,3.382627665996551514e-02
