# total,frequency_equation,frequency_initial,physical_equation,physical_initial
2.201100730895996094e+01,2.855829000473022461e-01,1.915517896413803101e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.056731033325195312e+01,2.492724806070327759e-01,1.807458400726318359e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.383054542541503906e+01,2.590922117233276367e-01,2.123962342739105225e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.138900947570800781e+01,2.582658529281616211e-01,1.880635023117065430e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.150347709655761719e+01,2.273123264312744141e-01,1.923035383224487305e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.038613700866699219e+01,2.368338108062744141e-01,1.801779866218566895e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.242651367187500000e+01,2.249330878257751465e-01,2.017718255519866943e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.950913619995117188e+01,2.227032333612442017e-01,1.728210449218750000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.871539115905761719e+01,2.037392258644104004e-01,1.667799949645996094e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.156998634338378906e+01,2.119169086217880249e-01,1.945081800222396851e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.934633636474609375e+01,1.959084421396255493e-01,1.738725304603576660e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.785527992248535156e+01,1.923173367977142334e-01,1.593210697174072266e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.765418624877929688e+01,1.897493302822113037e-01,1.575669199228286743e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.841172981262207031e+01,1.779775619506835938e-01,1.663195490837097168e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.894304275512695312e+01,1.706295609474182129e-01,1.723674833774566650e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.749705886840820312e+01,1.757702380418777466e-01,1.573935747146606445e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.837994003295898438e+01,1.745633184909820557e-01,1.663430631160736084e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.842101478576660156e+01,1.551180481910705566e-01,1.686983406543731689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750454711914062500e+01,1.501171439886093140e-01,1.600337624549865723e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.610013580322265625e+01,1.482820212841033936e-01,1.461731493473052979e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.790085601806640625e+01,1.357795745134353638e-01,1.654306054115295410e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.920919990539550781e+01,1.230441257357597351e-01,1.797875761985778809e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.768107604980468750e+01,1.248864009976387024e-01,1.643221378326416016e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.754884338378906250e+01,1.170091331005096436e-01,1.637875139713287354e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.650127983093261719e+01,1.112323254346847534e-01,1.538895666599273682e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.695500564575195312e+01,1.070701926946640015e-01,1.588430404663085938e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.623147583007812500e+01,1.035266220569610596e-01,1.519620865583419800e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.442651271820068359e+01,9.933059662580490112e-02,1.343320608139038086e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.676238059997558594e+01,9.796850383281707764e-02,1.578269451856613159e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.479862022399902344e+01,9.399205446243286133e-02,1.385869979858398438e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.726459312438964844e+01,8.475394546985626221e-02,1.641705334186553955e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.429241657257080078e+01,8.218967914581298828e-02,1.347052007913589478e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.639415550231933594e+01,7.916362583637237549e-02,1.560252010822296143e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.771439552307128906e+01,7.595996558666229248e-02,1.695479601621627808e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.539320564270019531e+01,7.759267836809158325e-02,1.461727917194366455e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.422746086120605469e+01,7.017099857330322266e-02,1.352575123310089111e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.557621192932128906e+01,6.966729462146759033e-02,1.487953960895538330e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.412976741790771484e+01,6.567013263702392578e-02,1.347306668758392334e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.534635448455810547e+01,6.373368203639984131e-02,1.470901817083358765e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.429793167114257812e+01,5.812545120716094971e-02,1.371667683124542236e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.404262447357177734e+01,5.594044178724288940e-02,1.348322033882141113e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.336056423187255859e+01,5.480086803436279297e-02,1.281255483627319336e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.409791278839111328e+01,5.072072893381118774e-02,1.359070539474487305e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.381273746490478516e+01,4.602091386914253235e-02,1.335252821445465088e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.243145370483398438e+01,4.444620013236999512e-02,1.198699176311492920e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.218861007690429688e+01,4.184929281473159790e-02,1.177011653780937195e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.338334465026855469e+01,3.788448870182037354e-02,1.300449967384338379e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.264750194549560547e+01,4.106264188885688782e-02,1.223687529563903809e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.048506355285644531e+01,4.011813551187515259e-02,1.008388251066207886e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.121486473083496094e+01,4.184785112738609314e-02,1.079638600349426270e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.033005523681640625e+01,4.214767366647720337e-02,9.908579289913177490e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.063047409057617188e+01,4.311414062976837158e-02,1.019933223724365234e-01,0.000000000000000000e+00,0.000000000000000000e+00
