# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
2.100445270538330078e+00,1.749861598014831543e+00,3.331352710723876953e+00,1.412838464602828026e-04,8.878503926098346710e-03,8.890435099601745605e-03,0.000000000000000000e+00,1.744844019412994385e-01,1.783072889338654932e-06,1.394237460772274062e-05
2.061058044433593750e+00,1.712198138236999512e+00,3.298955917358398438e+00,1.382428890792652965e-04,8.801801130175590515e-03,8.813560009002685547e-03,0.000000000000000000e+00,1.896419525146484375e-01,1.783072889338654932e-06,1.515891199233010411e-05
2.021965742111206055e+00,1.674736738204956055e+00,3.266864061355590820e+00,1.352182734990492463e-04,8.725918829441070557e-03,8.737513795495033264e-03,0.000000000000000000e+00,2.054267525672912598e-01,1.783072889338654932e-06,1.642628012632485479e-05
1.980671048164367676e+00,1.635235071182250977e+00,3.233280181884765625e+00,1.320289011346176267e-04,8.645264431834220886e-03,8.656692691147327423e-03,0.000000000000000000e+00,2.210798561573028564e-01,1.783072889338654932e-06,1.768348738551139832e-05
1.934419274330139160e+00,1.591234803199768066e+00,3.196249246597290039e+00,1.284763275180011988e-04,8.553555235266685486e-03,8.564813993871212006e-03,0.000000000000000000e+00,2.355957776308059692e-01,1.783072889338654932e-06,1.884968878584913909e-05
1.879594564437866211e+00,1.539525151252746582e+00,3.153277397155761719e+00,1.243012811755761504e-04,8.442291989922523499e-03,8.453384041786193848e-03,0.000000000000000000e+00,2.474166750907897949e-01,1.783072889338654932e-06,1.979959779419004917e-05
1.811625242233276367e+00,1.476072311401367188e+00,3.101336002349853516e+00,1.191780975204892457e-04,8.300207555294036865e-03,8.311123587191104889e-03,0.000000000000000000e+00,2.541939020156860352e-01,1.783072889338654932e-06,2.034435055975336581e-05
1.724682092666625977e+00,1.395775556564331055e+00,3.036797523498535156e+00,1.126949355239048600e-04,8.111612871289253235e-03,8.122337050735950470e-03,0.000000000000000000e+00,2.522684335708618164e-01,1.783072889338654932e-06,2.018982195295393467e-05
1.611435770988464355e+00,1.292238593101501465e+00,2.955523967742919922e+00,1.043353477143682539e-04,7.853875868022441864e-03,7.864384911954402924e-03,0.000000000000000000e+00,2.364476770162582397e-01,1.783072889338654932e-06,1.891897773020900786e-05
1.463649392127990723e+00,1.158144354820251465e+00,2.853712797164916992e+00,9.350859181722626090e-05,7.494780700653791428e-03,7.505050860345363617e-03,0.000000000000000000e+00,2.013369202613830566e-01,1.783072889338654932e-06,1.609991522855125368e-05
1.274184823036193848e+00,9.864533543586730957e-01,2.730045080184936523e+00,7.964625547174364328e-05,6.987908855080604553e-03,6.997869815677404404e-03,0.000000000000000000e+00,1.472696363925933838e-01,1.783072889338654932e-06,1.176556907012127340e-05
1.042525768280029297e+00,7.733824253082275391e-01,2.590790510177612305e+00,6.244290852919220924e-05,6.270274519920349121e-03,6.280167959630489349e-03,0.000000000000000000e+00,1.006427556276321411e-01,1.783072889338654932e-06,8.056966180447489023e-06
