# total,frequency_equation,frequency_initial,physical_equation,physical_initial
2.985111694335937500e+02,2.230397415161132812e+01,7.547143697738647461e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.538815155029296875e+02,1.833067893981933594e+01,7.057472467422485352e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.722018432617187500e+02,1.992080307006835938e+01,7.299381494522094727e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.639505004882812500e+02,1.907763862609863281e+01,7.317411899566650391e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.267132568359375000e+02,1.524762248992919922e+01,7.423701882362365723e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400292663574218750e+02,1.700438690185546875e+01,6.998540163040161133e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.260594787597656250e+02,1.525303745269775391e+01,7.352909445762634277e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.111331176757812500e+02,1.395140838623046875e+01,7.161903381347656250e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.924707946777343750e+02,1.229733943939208984e+01,6.949740648269653320e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.017846832275390625e+02,1.305028820037841797e+01,7.128180265426635742e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.806578369140625000e+02,1.106801509857177734e+01,6.997768878936767578e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.780002746582031250e+02,1.076252555847167969e+01,7.037501335144042969e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.702013244628906250e+02,1.027036571502685547e+01,6.749766469001770020e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.624868316650390625e+02,9.350145339965820312e+00,6.898537874221801758e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.490805358886718750e+02,7.994309902191162109e+00,6.913744211196899414e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.528868103027343750e+02,8.482284545898437500e+00,6.806396245956420898e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.450109252929687500e+02,7.673680305480957031e+00,6.827412843704223633e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.310879974365234375e+02,6.342864513397216797e+00,6.765935420989990234e-01,0.000000000000000000e+00,0.000000000000000000e+00
