# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
1.621269702911376953e+00,1.448228836059570312e+00,1.216953635215759277e+00,2.644258439540863037e-01,4.180440008640289307e-01,4.178669452667236328e-01,0.000000000000000000e+00,5.134545564651489258e-01,4.738962161354720592e-04,9.462992846965789795e-02
1.577390909194946289e+00,1.404671192169189453e+00,1.179490447044372559e+00,2.564728558063507080e-01,4.115593433380126953e-01,4.113863110542297363e-01,0.000000000000000000e+00,5.477066040039062500e-01,4.738962161354720592e-04,1.009097173810005188e-01
1.534367084503173828e+00,1.361900925636291504e+00,1.142791509628295898e+00,2.486636191606521606e-01,4.051240384578704834e-01,4.049541354179382324e-01,0.000000000000000000e+00,5.818700194358825684e-01,4.738962161354720592e-04,1.071722805500030518e-01
1.489940166473388672e+00,1.317889690399169922e+00,1.105084300041198730e+00,2.406277954578399658e-01,3.984239995479583740e-01,3.982575237751007080e-01,0.000000000000000000e+00,6.154203414916992188e-01,4.738962161354720592e-04,1.133216619491577148e-01
1.441912531852722168e+00,1.270674347877502441e+00,1.064672708511352539e+00,2.320069223642349243e-01,3.911503553390502930e-01,3.909885585308074951e-01,0.000000000000000000e+00,6.477098464965820312e-01,4.738962161354720592e-04,1.192393079400062561e-01
1.387478113174438477e+00,1.217780947685241699e+00,1.019447565078735352e+00,2.223493605852127075e-01,3.828781843185424805e-01,3.827216923236846924e-01,0.000000000000000000e+00,6.775232553482055664e-01,4.738962161354720592e-04,1.247027069330215454e-01
1.323007583618164062e+00,1.156069874763488770e+00,9.667729735374450684e-01,2.110818028450012207e-01,3.730497658252716064e-01,3.728976547718048096e-01,0.000000000000000000e+00,7.026039361953735352e-01,4.738962161354720592e-04,1.292986571788787842e-01
1.243853926658630371e+00,1.081602454185485840e+00,9.034126400947570801e-01,1.974851191043853760e-01,3.608890771865844727e-01,3.607426583766937256e-01,0.000000000000000000e+00,7.191027998924255371e-01,4.738962161354720592e-04,1.323221623897552490e-01
1.144310116767883301e+00,9.896905422210693359e-01,8.256505727767944336e-01,1.807033121585845947e-01,3.453518450260162354e-01,3.452143669128417969e-01,0.000000000000000000e+00,7.205451726913452148e-01,4.738962161354720592e-04,1.325873881578445435e-01
1.017933487892150879e+00,8.752577900886535645e-01,7.297589182853698730e-01,1.598095297813415527e-01,3.250380754470825195e-01,3.249077200889587402e-01,0.000000000000000000e+00,6.969986557960510254e-01,4.738962161354720592e-04,1.282746046781539917e-01
