# total,frequency_equation,frequency_initial,physical_equation,physical_initial
6.966674804687500000e+01,4.911145210266113281e+00,2.055530250072479248e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.998395156860351562e+01,4.068045139312744141e+00,1.930350065231323242e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.610106658935546875e+01,4.343137741088867188e+00,2.266968786716461182e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.226779174804687500e+01,4.187094688415527344e+00,2.039684057235717773e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.518027114868164062e+01,3.408936977386474609e+00,2.109090089797973633e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.687069702148437500e+01,3.706068515777587891e+00,1.981001347303390503e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.613979339599609375e+01,3.346573829650878906e+00,2.267405688762664795e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.053527069091796875e+01,3.109672069549560547e+00,1.943854689598083496e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.609573364257812500e+01,2.742339849472045898e+00,1.867233216762542725e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.045652008056640625e+01,2.868167877197265625e+00,2.177484333515167236e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.415645599365234375e+01,2.462537527084350586e+00,1.953107863664627075e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.215473175048828125e+01,2.375722885131835938e+00,1.839750409126281738e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.069014739990234375e+01,2.253909587860107422e+00,1.815104931592941284e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.979085540771484375e+01,2.049131870269775391e+00,1.929953694343566895e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.810726165771484375e+01,1.786843895912170410e+00,2.023882120847702026e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.699005889892578125e+01,1.854320883750915527e+00,1.844685077667236328e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.653375625610351562e+01,1.701645135879516602e+00,1.951730549335479736e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.395188140869140625e+01,1.400378584861755371e+00,1.994809508323669434e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.154846954345703125e+01,1.235209584236145020e+00,1.919637322425842285e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.880551910400390625e+01,1.140790939331054688e+00,1.739760935306549072e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.948149490356445312e+01,9.268472194671630859e-01,2.021302282810211182e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.990820312500000000e+01,7.391548156738281250e-01,2.251665443181991577e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.751126098632812500e+01,6.978146433830261230e-01,2.053311318159103394e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.601146697998046875e+01,5.506998300552368164e-01,2.050446867942810059e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.347052192687988281e+01,4.339883327484130859e-01,1.913063824176788330e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.339953041076660156e+01,3.345423936843872070e-01,2.005410492420196533e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.193956756591796875e+01,2.517618536949157715e-01,1.942194998264312744e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.952838706970214844e+01,1.781344264745712280e-01,1.774704307317733765e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.164907455444335938e+01,1.246355995535850525e-01,2.040271908044815063e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.901462745666503906e+01,7.533697783946990967e-02,1.826125681400299072e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.243283271789550781e+01,4.102988168597221375e-02,2.202253341674804688e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.886569213867187500e+01,3.184384852647781372e-02,1.854725480079650879e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.187255668640136719e+01,3.700482472777366638e-02,2.150250822305679321e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.441013908386230469e+01,4.613468050956726074e-02,2.394879162311553955e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.122483634948730469e+01,7.246803492307662964e-02,2.050015628337860107e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.974483871459960938e+01,7.456874102354049683e-02,1.899915039539337158e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.231882667541503906e+01,7.944767177104949951e-02,2.152434885501861572e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.023599815368652344e+01,7.695184648036956787e-02,1.946648061275482178e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.226783943176269531e+01,6.547485291957855225e-02,2.161309123039245605e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.079983329772949219e+01,5.187954008579254150e-02,2.028103768825531006e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.994468116760253906e+01,4.614307358860969543e-02,1.948325037956237793e-01,0.000000000000000000e+00,0.000000000000000000e+00
