step,phase_0_adam_1_lbfgs,weighted_pde_residual
1.000000000000000000e+00,0.000000000000000000e+00,8.865275100970113620e-01
2.000000000000000000e+00,0.000000000000000000e+00,8.725056053520973132e-01
3.000000000000000000e+00,0.000000000000000000e+00,8.542231834353424258e-01
4.000000000000000000e+00,0.000000000000000000e+00,8.309451709463385738e-01
5.000000000000000000e+00,0.000000000000000000e+00,8.022007596152538333e-01
6.000000000000000000e+00,0.000000000000000000e+00,7.673662233278459865e-01
7.000000000000000000e+00,0.000000000000000000e+00,7.258011573398526206e-01
8.000000000000000000e+00,0.000000000000000000e+00,6.769973393498676106e-01
9.000000000000000000e+00,0.000000000000000000e+00,6.206801407576072460e-01
1.000000000000000000e+01,0.000000000000000000e+00,5.569930261674937988e-01
1.100000000000000000e+01,0.000000000000000000e+00,4.867015563778422371e-01
1.200000000000000000e+01,0.000000000000000000e+00,4.113943565569543881e-01
1.300000000000000000e+01,0.000000000000000000e+00,3.337644388289040531e-01
1.400000000000000000e+01,0.000000000000000000e+00,2.578581894891437409e-01
1.500000000000000000e+01,0.000000000000000000e+00,1.891321332217290319e-01
1.600000000000000000e+01,0.000000000000000000e+00,1.341051221609197985e-01
1.700000000000000000e+01,0.000000000000000000e+00,9.925383891806528747e-02
1.800000000000000000e+01,0.000000000000000000e+00,8.871039848451427179e-02
1.900000000000000000e+01,0.000000000000000000e+00,1.007002208816290267e-01
2.000000000000000000e+01,0.000000000000000000e+00,1.253441254220439560e-01
2.100000000000000000e+01,0.000000000000000000e+00,1.485702751102229435e-01
2.200000000000000000e+01,0.000000000000000000e+00,1.599887532923098821e-01
2.300000000000000000e+01,0.000000000000000000e+00,1.565625889135199844e-01
2.400000000000000000e+01,0.000000000000000000e+00,1.409131035821491462e-01
2.500000000000000000e+01,0.000000000000000000e+00,1.182630295919741836e-01
2.600000000000000000e+01,0.000000000000000000e+00,9.415504609184796592e-02
2.700000000000000000e+01,0.000000000000000000e+00,7.311494186705443099e-02
2.800000000000000000e+01,0.000000000000000000e+00,5.798920792056366097e-02
2.900000000000000000e+01,0.000000000000000000e+00,4.977387342048510827e-02
3.000000000000000000e+01,0.000000000000000000e+00,4.783343691459999991e-02
3.100000000000000000e+01,0.000000000000000000e+00,5.040031635177336100e-02
3.200000000000000000e+01,0.000000000000000000e+00,5.520276013185056174e-02
3.300000000000000000e+01,0.000000000000000000e+00,6.005702711027650909e-02
3.400000000000000000e+01,0.000000000000000000e+00,6.329708327877198171e-02
3.500000000000000000e+01,0.000000000000000000e+00,6.398566803484054266e-02
3.600000000000000000e+01,0.000000000000000000e+00,6.192557189483387237e-02
3.700000000000000000e+01,0.000000000000000000e+00,5.753556877204453468e-02
3.800000000000000000e+01,0.000000000000000000e+00,5.165734512498622311e-02
3.900000000000000000e+01,0.000000000000000000e+00,4.533713636817920944e-02
4.000000000000000000e+01,0.000000000000000000e+00,3.960586837692764428e-02
4.100000000000000000e+01,0.000000000000000000e+00,3.527659995050898278e-02
4.200000000000000000e+01,0.000000000000000000e+00,3.278503270982194295e-02
4.300000000000000000e+01,0.000000000000000000e+00,3.210745718423119177e-02
4.400000000000000000e+01,0.000000000000000000e+00,3.278808087611349148e-02
4.500000000000000000e+01,0.000000000000000000e+00,3.408423597322837728e-02
4.600000000000000000e+01,0.000000000000000000e+00,3.519573822209103725e-02
4.700000000000000000e+01,0.000000000000000000e+00,3.550499204697658145e-02
4.800000000000000000e+01,0.000000000000000000e+00,3.474530061644395817e-02
4.900000000000000000e+01,0.000000000000000000e+00,3.304503633859164763e-02
5.000000000000000000e+01,0.000000000000000000e+00,3.084535738957996931e-02
5.100000000000000000e+01,0.000000000000000000e+00,2.873066912721050636e-02
5.200000000000000000e+01,0.000000000000000000e+00,2.722976608798557269e-02
5.300000000000000000e+01,0.000000000000000000e+00,2.664496590989610947e-02
