# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+01,7.934380050755862612e-07,nan
2.000000000000000000e+01,7.797249530483441049e-07,nan
3.000000000000000000e+01,7.675994346811876312e-07,nan
4.000000000000000000e+01,7.649536826193070738e-07,nan
5.000000000000000000e+01,7.593366966318626510e-07,nan
6.000000000000000000e+01,7.560470685064046847e-07,nan
7.000000000000000000e+01,7.514095301530687721e-07,nan
8.000000000000000000e+01,7.495124521028628806e-07,nan
9.000000000000000000e+01,7.463198627988276712e-07,nan
1.000000000000000000e+02,7.457111124153925630e-07,nan
1.100000000000000000e+02,7.404262980514886294e-07,nan
1.200000000000000000e+02,7.264237069648515899e-07,nan
1.300000000000000000e+02,7.175764977773724240e-07,nan
1.400000000000000000e+02,7.063205558210938761e-07,nan
1.500000000000000000e+02,6.988355956139002956e-07,nan
1.600000000000000000e+02,6.888667591908870236e-07,nan
1.700000000000000000e+02,6.756365671378716797e-07,nan
1.800000000000000000e+02,6.706555666369240498e-07,nan
1.900000000000000000e+02,6.632241067450195260e-07,nan
2.000000000000000000e+02,6.578077922370084707e-07,nan
2.100000000000000000e+02,6.521338775655749487e-07,nan
2.200000000000000000e+02,6.467867414983174967e-07,nan
2.300000000000000000e+02,6.354932295948856336e-07,nan
2.400000000000000000e+02,6.266033913959745405e-07,nan
2.500000000000000000e+02,6.203433535745261906e-07,nan
2.600000000000000000e+02,6.139389192583166732e-07,nan
2.700000000000000000e+02,6.088551991467738844e-07,nan
2.800000000000000000e+02,6.038267521546458738e-07,nan
2.900000000000000000e+02,5.996400140872992779e-07,nan
3.000000000000000000e+02,5.945521657224617229e-07,nan
3.100000000000000000e+02,5.910793419161564088e-07,nan
3.200000000000000000e+02,5.863162542141253653e-07,nan
3.300000000000000000e+02,5.840700900705542153e-07,nan
3.400000000000000000e+02,5.817191706114499539e-07,nan
3.500000000000000000e+02,5.799874713829922257e-07,nan
3.600000000000000000e+02,5.791931769749680825e-07,nan
3.700000000000000000e+02,5.787084766950556514e-07,nan
3.800000000000000000e+02,5.783790619773299113e-07,nan
3.900000000000000000e+02,5.781492085077388765e-07,nan
4.000000000000000000e+02,5.779411935691314284e-07,nan
4.100000000000000000e+02,5.776661922141101968e-07,nan
4.200000000000000000e+02,5.775019680243076436e-07,nan
4.300000000000000000e+02,5.773204350134619744e-07,nan
4.400000000000000000e+02,5.770815150185626408e-07,nan
4.500000000000000000e+02,5.735638310966351128e-07,nan
4.600000000000000000e+02,5.711366490857017197e-07,nan
4.700000000000000000e+02,5.682127870443309803e-07,nan
4.800000000000000000e+02,5.641695146607617062e-07,nan
4.900000000000000000e+02,5.587053415467835293e-07,nan
5.000000000000000000e+02,5.531548588066925731e-07,nan
5.100000000000000000e+02,5.482506182374891068e-07,nan
5.200000000000000000e+02,5.385392363166374707e-07,nan
5.300000000000000000e+02,5.336349975237908438e-07,nan
5.400000000000000000e+02,5.264675451144285034e-07,nan
5.500000000000000000e+02,5.193000731651409296e-07,nan
5.600000000000000000e+02,5.098088813326739910e-07,nan
5.700000000000000000e+02,5.041245945136552109e-07,nan
5.800000000000000000e+02,4.978604888350446345e-07,nan
5.900000000000000000e+02,4.933725055167315077e-07,nan
6.000000000000000000e+02,4.898990582091755641e-07,nan
6.100000000000000000e+02,4.860686910745926070e-07,nan
6.200000000000000000e+02,4.829868860412034337e-07,nan
6.300000000000000000e+02,4.786014109470215772e-07,nan
6.400000000000000000e+02,4.736613430367242472e-07,nan
6.500000000000000000e+02,4.732818759123347263e-07,nan
6.600000000000000000e+02,4.659811878582331701e-07,nan
6.700000000000000000e+02,4.613409121390077416e-07,nan
6.800000000000000000e+02,4.561781938861031449e-07,nan
6.900000000000000000e+02,4.502236148340443833e-07,nan
7.000000000000000000e+02,4.451688138118470306e-07,nan
7.100000000000000000e+02,4.386660723554314245e-07,nan
7.200000000000000000e+02,4.326844891267001003e-07,nan
7.300000000000000000e+02,4.185882129803530916e-07,nan
7.400000000000000000e+02,4.133333124656246582e-07,nan
7.500000000000000000e+02,4.107961633081913533e-07,nan
7.600000000000000000e+02,4.022236641532117574e-07,nan
7.700000000000000000e+02,4.046446981931239861e-07,nan
7.800000000000000000e+02,3.876601404328994249e-07,nan
7.900000000000000000e+02,3.834706685523769920e-07,nan
8.000000000000000000e+02,3.802527768215213655e-07,nan
8.100000000000000000e+02,3.739429104143709992e-07,nan
8.200000000000000000e+02,3.690743373141458505e-07,nan
8.300000000000000000e+02,3.650436273261448150e-07,nan
8.400000000000000000e+02,3.611129812952640350e-07,nan
8.500000000000000000e+02,3.568781430374201591e-07,nan
8.600000000000000000e+02,3.530139309759761090e-07,nan
8.700000000000000000e+02,3.518283353542983605e-07,nan
8.800000000000000000e+02,3.512373574210414517e-07,nan
8.900000000000000000e+02,3.500035887782360078e-07,nan
9.000000000000000000e+02,3.497874274671630701e-07,nan
9.100000000000000000e+02,3.495970624101119029e-07,nan
9.200000000000000000e+02,3.494259193104198857e-07,nan
9.300000000000000000e+02,3.492696993845356701e-07,nan
9.400000000000000000e+02,3.491267452915280955e-07,nan
9.500000000000000000e+02,3.489936659661907470e-07,nan
9.600000000000000000e+02,3.488719251265592902e-07,nan
9.700000000000000000e+02,3.487553872361104368e-07,nan
9.800000000000000000e+02,3.486471236158195097e-07,nan
9.900000000000000000e+02,3.485429971306075458e-07,nan
1.000000000000000000e+03,3.484449209167905792e-07,nan
1.010000000000000000e+03,3.483485926381035824e-07,nan
1.020000000000000000e+03,3.482594959081097841e-07,nan
1.030000000000000000e+03,3.481715555864184353e-07,nan
1.040000000000000000e+03,3.480889496643158054e-07,nan
1.050000000000000000e+03,3.480056189886227003e-07,nan
1.060000000000000000e+03,3.479286387886304510e-07,nan
1.070000000000000000e+03,3.478518397770358206e-07,nan
1.080000000000000000e+03,3.477762966497266461e-07,nan
1.090000000000000000e+03,3.477026222498125207e-07,nan
1.100000000000000000e+03,3.476322429918354828e-07,nan
1.110000000000000000e+03,3.475627146087845176e-07,nan
1.120000000000000000e+03,3.474959555660461774e-07,nan
1.130000000000000000e+03,3.474302090467062953e-07,nan
1.140000000000000000e+03,3.473645833196314925e-07,nan
1.150000000000000000e+03,3.473006469079109593e-07,nan
1.160000000000000000e+03,3.472393323988853808e-07,nan
1.170000000000000000e+03,3.471773215579787575e-07,nan
1.180000000000000000e+03,3.471184530923210332e-07,nan
1.190000000000000000e+03,3.470601299682130048e-07,nan
1.200000000000000000e+03,3.470008032024907152e-07,nan
1.210000000000000000e+03,3.469439509018457102e-07,nan
1.220000000000000000e+03,3.468871891953995146e-07,nan
1.230000000000000000e+03,3.468349110136159652e-07,nan
1.240000000000000000e+03,3.467783251664968702e-07,nan
1.250000000000000000e+03,3.467247875477141861e-07,nan
1.260000000000000000e+03,3.466719959988040500e-07,nan
1.270000000000000000e+03,3.466195970247554214e-07,nan
1.280000000000000000e+03,3.465697790971944414e-07,nan
1.290000000000000000e+03,3.465183340267685708e-07,nan
1.300000000000000000e+03,3.464669831032551883e-07,nan
1.310000000000000000e+03,3.464175044598505337e-07,nan
1.320000000000000000e+03,3.463670807946073182e-07,nan
1.330000000000000000e+03,3.463224995670088902e-07,nan
1.340000000000000000e+03,3.462731683612219058e-07,nan
1.350000000000000000e+03,3.462262423425954694e-07,nan
1.360000000000000000e+03,3.461781368230276712e-07,nan
1.370000000000000000e+03,3.461312942931726866e-07,nan
1.380000000000000000e+03,3.460833202240110040e-07,nan
1.390000000000000000e+03,3.460383162234847987e-07,nan
1.400000000000000000e+03,3.459922659487801866e-07,nan
1.410000000000000000e+03,3.459455761856133904e-07,nan
1.420000000000000000e+03,3.459011495010599901e-07,nan
1.430000000000000000e+03,3.458548807344641318e-07,nan
1.440000000000000000e+03,3.458121398125513224e-07,nan
1.450000000000000000e+03,3.457677948404125345e-07,nan
1.460000000000000000e+03,3.457246702254224147e-07,nan
1.470000000000000000e+03,3.456806201285189672e-07,nan
1.480000000000000000e+03,3.456389254807845646e-07,nan
1.490000000000000000e+03,3.455975718935633267e-07,nan
1.500000000000000000e+03,3.455552270992257036e-07,nan
1.500000000000000000e+03,nan,3.171308321725518697e-07
