# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+00,5.861601233482360840e-01,3.826827403157949670e-01
1.000000000000000000e+02,1.038318732753396034e-03,2.435344143304973667e-03
2.000000000000000000e+02,4.408202075865119696e-04,4.871935350820422281e-04
3.000000000000000000e+02,2.819766450556926429e-05,3.193942648067604479e-05
4.000000000000000000e+02,1.274120222660712898e-05,1.473452412028564106e-05
5.000000000000000000e+02,1.378319393552374095e-05,9.359525392937939614e-06
6.000000000000000000e+02,1.201256236527115107e-05,7.355876459769206291e-06
7.000000000000000000e+02,5.194346158532425761e-06,5.989494889035995923e-06
8.000000000000000000e+02,6.097997356846462935e-06,4.842467797061545182e-06
9.000000000000000000e+02,5.628042345051653683e-06,4.828816054214258086e-06
1.000000000000000000e+03,1.881121306723798625e-06,6.191947500155947976e-06
1.100000000000000000e+03,5.774613782705273479e-06,3.221697443223092536e-06
1.200000000000000000e+03,2.639672629811684601e-06,3.024514626304153353e-06
1.300000000000000000e+03,2.246353460577665828e-06,2.775349548755912195e-06
1.400000000000000000e+03,1.742450308483967092e-06,2.374438145125168460e-06
1.500000000000000000e+03,1.121284412874956615e-06,2.185774860663514119e-06
1.600000000000000000e+03,2.162208375011687167e-06,1.976008184101374439e-06
1.700000000000000000e+03,1.529170503999921493e-06,1.854541824286570815e-06
1.800000000000000000e+03,1.386191797791980207e-06,1.982795640742551599e-06
1.900000000000000000e+03,1.274433998332824558e-06,1.680565856077009770e-06
2.000000000000000000e+03,1.643772520765196532e-06,1.566666048802289964e-06
2.100000000000000000e+03,2.033843657045508735e-06,1.534613716103194747e-06
2.200000000000000000e+03,2.291456667080637999e-06,1.500264386322669410e-06
2.300000000000000000e+03,1.944035830092616379e-06,1.476677141454274533e-06
2.400000000000000000e+03,3.966294457313779276e-07,1.467720062464650170e-06
2.500000000000000000e+03,2.072926690743770450e-06,1.467004790356440893e-06
2.510000000000000000e+03,1.496048174232100791e-06,nan
2.520000000000000000e+03,1.323854995405326918e-06,nan
2.530000000000000000e+03,1.062359217485209228e-06,nan
2.540000000000000000e+03,9.613220370852104679e-07,nan
2.550000000000000000e+03,9.141520607158781786e-07,nan
2.560000000000000000e+03,8.873018835231505363e-07,nan
2.570000000000000000e+03,8.717943771330283198e-07,nan
2.580000000000000000e+03,8.599758096750065306e-07,nan
2.590000000000000000e+03,8.485867049046191823e-07,nan
2.600000000000000000e+03,8.375913118641165056e-07,nan
2.610000000000000000e+03,8.241076976389649644e-07,nan
2.620000000000000000e+03,8.110633409330603172e-07,nan
2.630000000000000000e+03,8.019177073492755881e-07,nan
2.634000000000000000e+03,nan,7.244258654282020659e-07
