# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
1.359542131423950195e+00,1.238401174545288086e+00,9.850997924804687500e-01,9.190898537635803223e-01,8.391046524047851562e-01,8.497880101203918457e-01,0.000000000000000000e+00,2.263092398643493652e-01,7.137924432754516602e-03,2.409807592630386353e-01
1.311606526374816895e+00,1.191944718360900879e+00,9.468602538108825684e-01,8.846119046211242676e-01,8.234544396400451660e-01,8.341401815414428711e-01,0.000000000000000000e+00,2.497572749853134155e-01,7.137924432754516602e-03,2.599218785762786865e-01
1.264789104461669922e+00,1.146471977233886719e+00,9.094933271408081055e-01,8.508638143539428711e-01,8.078383207321166992e-01,8.185263872146606445e-01,0.000000000000000000e+00,2.736787796020507812e-01,7.137924432754516602e-03,2.791586518287658691e-01
1.216935753822326660e+00,1.100029349327087402e+00,8.713335394859313965e-01,8.163961768150329590e-01,7.915936708450317383e-01,8.022844195365905762e-01,0.000000000000000000e+00,2.977301478385925293e-01,7.137924432754516602e-03,2.984219491481781006e-01
1.165978789329528809e+00,1.050736784934997559e+00,8.307924866676330566e-01,7.798131704330444336e-01,7.740238308906555176e-01,7.847174406051635742e-01,0.000000000000000000e+00,3.216279745101928711e-01,7.137924432754516602e-03,3.174924254417419434e-01
1.109367132186889648e+00,9.962878227233886719e-01,7.859414815902709961e-01,7.394034862518310547e-01,7.542081475257873535e-01,7.649049758911132812e-01,0.000000000000000000e+00,3.448514342308044434e-01,7.137924432754516602e-03,3.359615206718444824e-01
1.043862819671630859e+00,9.337816834449768066e-01,7.343800663948059082e-01,6.930139660835266113e-01,7.308866381645202637e-01,7.415871620178222656e-01,0.000000000000000000e+00,3.664309978485107422e-01,7.137924432754516602e-03,3.530655801296234131e-01
9.654039144515991211e-01,8.596139550209045410e-01,6.731724143028259277e-01,6.379697322845458984e-01,7.023075222969055176e-01,7.130131721496582031e-01,0.000000000000000000e+00,3.847270011901855469e-01,7.137924432754516602e-03,3.675120174884796143e-01
8.693305253982543945e-01,7.697182893753051758e-01,5.990985631942749023e-01,5.712529420852661133e-01,6.661058664321899414e-01,6.768205761909484863e-01,0.000000000000000000e+00,3.970233798027038574e-01,7.137924432754516602e-03,3.771583437919616699e-01
7.508549094200134277e-01,6.600285768508911133e-01,5.091548562049865723e-01,4.898457825183868408e-01,6.190660595893859863e-01,6.297945976257324219e-01,0.000000000000000000e+00,3.991084098815917969e-01,7.137924432754516602e-03,3.786767721176147461e-01
6.064500808715820312e-01,5.278168916702270508e-01,4.018823206424713135e-01,3.917237520217895508e-01,5.568534731864929199e-01,5.676031112670898438e-01,0.000000000000000000e+00,3.844490647315979004e-01,7.137924432754516602e-03,3.668825626373291016e-01
4.368415474891662598e-01,3.745153248310089111e-01,2.801173329353332520e-01,2.779497206211090088e-01,4.736213982105255127e-01,4.844033718109130859e-01,0.000000000000000000e+00,3.431447148323059082e-01,7.137924432754516602e-03,3.338329195976257324e-01
