# total,frequency_equation,frequency_initial,physical_equation,physical_initial
1.930147552490234375e+01,7.842723280191421509e-02,1.851720213890075684e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.825089836120605469e+01,7.140284776687622070e-02,1.753686964511871338e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.139422225952148438e+01,7.296152412891387939e-02,2.066460847854614258e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.894054222106933594e+01,7.301066815853118896e-02,1.821043640375137329e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.923676300048828125e+01,6.771598756313323975e-02,1.855960190296173096e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.805234909057617188e+01,6.845676153898239136e-02,1.736778020858764648e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.993188667297363281e+01,6.690366566181182861e-02,1.926285028457641602e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.727322769165039062e+01,6.756766140460968018e-02,1.659755110740661621e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.674149703979492188e+01,6.339737772941589355e-02,1.610752344131469727e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.942466545104980469e+01,6.495556235313415527e-02,1.877510994672775269e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.743128585815429688e+01,6.237887963652610779e-02,1.680749654769897461e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.587062072753906250e+01,6.145438551902770996e-02,1.525607705116271973e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.568649005889892578e+01,6.168518960475921631e-02,1.506963819265365601e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.651459312438964844e+01,5.853149294853210449e-02,1.592927873134613037e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.704641723632812500e+01,5.821894854307174683e-02,1.646422743797302246e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.570756721496582031e+01,5.892814695835113525e-02,1.511828601360321045e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.654933929443359375e+01,5.946754664182662964e-02,1.595466285943984985e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.669524765014648438e+01,5.549738928675651550e-02,1.614027321338653564e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.578259181976318359e+01,5.536664277315139771e-02,1.522892564535140991e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.456834125518798828e+01,5.524791777133941650e-02,1.401586234569549561e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.614558982849121094e+01,5.317290127277374268e-02,1.561385989189147949e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.719651794433593750e+01,5.047470331192016602e-02,1.669177114963531494e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.592218303680419922e+01,5.114919692277908325e-02,1.541069149971008301e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.594432067871093750e+01,5.020238831639289856e-02,1.544229686260223389e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.514321994781494141e+01,4.930773749947547913e-02,1.465014219284057617e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.553516483306884766e+01,4.924727231264114380e-02,1.504269242286682129e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.483149147033691406e+01,4.918752610683441162e-02,1.433961540460586548e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.317313480377197266e+01,4.855380952358245850e-02,1.268759667873382568e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.534594821929931641e+01,4.803136736154556274e-02,1.486563533544540405e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.362505245208740234e+01,4.777354001998901367e-02,1.314731687307357788e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.570739936828613281e+01,4.559491202235221863e-02,1.525145024061203003e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.308306407928466797e+01,4.573403298854827881e-02,1.262572407722473145e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.495199966430664062e+01,4.512981325387954712e-02,1.450070142745971680e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.592723274230957031e+01,4.442106932401657104e-02,1.548302173614501953e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.396323299407958984e+01,4.538428038358688354e-02,1.350938975811004639e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.308478355407714844e+01,4.259912297129631042e-02,1.265879273414611816e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.402322292327880859e+01,4.260605573654174805e-02,1.359716206789016724e-01,0.000000000000000000e+00,0.000000000000000000e+00
