# total,frequency_equation,frequency_initial,physical_equation,physical_initial
1.245828857421875000e+02,4.911145210266113281e+00,7.547143697738647461e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.112453460693359375e+02,4.068300247192382812e+00,7.056235074996948242e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.163981857299804688e+02,4.343610286712646484e+00,7.296208143234252930e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.150088195800781250e+02,4.188135147094726562e+00,7.312747240066528320e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.082610397338867188e+02,3.409131050109863281e+00,7.416973114013671875e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.070109634399414062e+02,3.709414482116699219e+00,6.991681456565856934e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.069261322021484375e+02,3.350698471069335938e+00,7.341914772987365723e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.026433105468750000e+02,3.113303661346435547e+00,7.151027917861938477e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.685662841796875000e+01,2.746990680694580078e+00,6.938672065734863281e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.985110473632812500e+01,2.871364116668701172e+00,7.113747000694274902e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.448286437988281250e+01,2.464952468872070312e+00,6.983333826065063477e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.402743530273437500e+01,2.381615161895751953e+00,7.021129131317138672e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.996891784667968750e+01,2.262785673141479492e+00,6.734105944633483887e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.934796142578125000e+01,2.055707216262817383e+00,6.879088878631591797e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.687670898437500000e+01,1.796429157257080078e+00,6.891241073608398438e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.648074340820312500e+01,1.863660335540771484e+00,6.784414052963256836e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.513960266113281250e+01,1.710793137550354004e+00,6.803166866302490234e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.153160858154296875e+01,1.413871288299560547e+00,6.739289760589599609e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.840666961669921875e+01,1.249843001365661621e+00,6.590824127197265625e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.669834136962890625e+01,1.157201528549194336e+00,6.512632369995117188e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.632044982910156250e+01,9.431936740875244141e-01,6.688851118087768555e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.494969940185546875e+01,7.567603588104248047e-01,6.738209724426269531e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.351764678955078125e+01,7.158663272857666016e-01,6.635898351669311523e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.106199645996093750e+01,5.709911584854125977e-01,6.535208225250244141e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.901153564453125000e+01,4.557034969329833984e-01,6.445450186729431152e-01,0.000000000000000000e+00,0.000000000000000000e+00
