# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
2.041596651077270508e+00,1.784860134124755859e+00,2.372582435607910156e+00,1.318998110946267843e-04,8.503918536007404327e-03,8.528184145689010620e-03,0.000000000000000000e+00,1.947835683822631836e-01,1.703105681372107938e-06,1.437661376257892698e-05
2.003030300140380859e+00,1.747872114181518555e+00,2.339496850967407227e+00,1.291664375457912683e-04,8.436049334704875946e-03,8.460314013063907623e-03,0.000000000000000000e+00,2.120849192142486572e-01,1.703105681372107938e-06,1.565498132549691945e-05
1.964883565902709961e+00,1.711205840110778809e+00,2.306817770004272461e+00,1.264568127226084471e-04,8.368980139493942261e-03,8.393252268433570862e-03,0.000000000000000000e+00,2.299592792987823486e-01,1.703105681372107938e-06,1.697568586678244174e-05
1.924591064453125000e+00,1.672568798065185547e+00,2.272615194320678711e+00,1.236015814356505871e-04,8.297357708215713501e-03,8.321636356413364410e-03,0.000000000000000000e+00,2.476067543029785156e-01,1.703105681372107938e-06,1.827961750677786767e-05
1.879403948783874512e+00,1.629518866539001465e+00,2.234858512878417969e+00,1.204202053486369550e-04,8.215372450649738312e-03,8.239676244556903839e-03,0.000000000000000000e+00,2.639929652214050293e-01,1.703105681372107938e-06,1.949033503478858620e-05
1.825743913650512695e+00,1.578899025917053223e+00,2.190974235534667969e+00,1.166794463642872870e-04,8.115160278975963593e-03,8.139483630657196045e-03,0.000000000000000000e+00,2.774757146835327148e-01,1.703105681372107938e-06,2.048646820185240358e-05
1.759062886238098145e+00,1.516726493835449219e+00,2.137807130813598633e+00,1.120849483413621783e-04,7.986241951584815979e-03,8.010580204427242279e-03,0.000000000000000000e+00,2.855567336082458496e-01,1.703105681372107938e-06,2.108339504047762603e-05
1.673485755920410156e+00,1.437906146049499512e+00,2.071501493453979492e+00,1.062601877492852509e-04,7.813899777829647064e-03,7.838231511414051056e-03,0.000000000000000000e+00,2.842950522899627686e-01,1.703105681372107938e-06,2.098986078635789454e-05
1.561452507972717285e+00,1.335914134979248047e+00,1.987482428550720215e+00,9.872303780866786838e-05,7.576741743832826614e-03,7.601080462336540222e-03,0.000000000000000000e+00,2.679009437561035156e-01,1.703105681372107938e-06,1.977798638108652085e-05
1.414189338684082031e+00,1.203111410140991211e+00,1.881225228309631348e+00,8.890902245184406638e-05,7.244133390486240387e-03,7.268493995070457458e-03,0.000000000000000000e+00,2.295541167259216309e-01,1.703105681372107938e-06,1.694371530902571976e-05
1.223413348197937012e+00,1.031770348548889160e+00,1.750226378440856934e+00,7.624703721376135945e-05,6.771417800337076187e-03,6.795830093324184418e-03,0.000000000000000000e+00,1.662040054798126221e-01,1.703105681372107938e-06,1.226154927280731499e-05
9.862500429153442383e-01,8.166238069534301758e-01,1.598761320114135742e+00,6.034788020770065486e-05,6.091842427849769592e-03,6.116265896707773209e-03,0.000000000000000000e+00,9.750121831893920898e-02,1.703105681372107938e-06,7.183548405009787530e-06
7.200248241424560547e-01,5.624957680702209473e-01,1.449978113174438477e+00,4.156800787313841283e-05,5.158575717359781265e-03,5.182902794331312180e-03,0.000000000000000000e+00,1.253120750188827515e-01,1.703105681372107938e-06,9.237510312232188880e-06
4.827668070793151855e-01,3.059704601764678955e-01,1.368836045265197754e+00,2.261098597955424339e-05,3.906437195837497711e-03,3.930747509002685547e-03,0.000000000000000000e+00,3.991276323795318604e-01,1.703105681372107938e-06,2.947113898699171841e-05
3.615092337131500244e-01,1.485418528318405151e-01,1.467848658561706543e+00,1.097712993214372545e-05,2.657518954947590828e-03,2.681830432265996933e-03,0.000000000000000000e+00,6.618251800537109375e-01,1.703105681372107938e-06,4.888412513537332416e-05
4.538797140121459961e-01,2.194946110248565674e-01,1.822018861770629883e+00,1.622048512217588723e-05,2.920813625678420067e-03,2.943483414128422737e-03,0.000000000000000000e+00,5.218322277069091797e-01,1.703105681372107938e-06,3.853913949569687247e-05
5.179287791252136230e-01,3.018632233142852783e-01,1.962875723838806152e+00,2.230746395071037114e-05,3.402576548978686333e-03,3.424150170758366585e-03,0.000000000000000000e+00,1.977800428867340088e-01,1.703105681372107938e-06,1.459230770706199110e-05
4.401255846023559570e-01,2.515233457088470459e-01,1.796661734580993652e+00,1.858738505688961595e-05,3.382364520803093910e-03,3.404387738555669785e-03,0.000000000000000000e+00,8.936037868261337280e-02,1.703105681372107938e-06,6.580476110684685409e-06
3.507833480834960938e-01,1.811872571706771851e-01,1.566593527793884277e+00,1.338960191787919030e-05,3.146393690258264542e-03,3.169544041156768799e-03,0.000000000000000000e+00,1.293674707412719727e-01,1.703105681372107938e-06,9.537146979710087180e-06
3.094232380390167236e-01,1.516264677047729492e-01,1.399155378341674805e+00,1.120508113672258332e-05,2.938930643722414970e-03,2.963117789477109909e-03,0.000000000000000000e+00,1.788125336170196533e-01,1.703105681372107938e-06,1.319130933552514762e-05
3.058263063430786133e-01,1.561501473188400269e-01,1.307125806808471680e+00,1.153937773779034615e-05,2.881438471376895905e-03,2.906080801039934158e-03,0.000000000000000000e+00,1.896357834339141846e-01,1.703105681372107938e-06,1.399147367919795215e-05
3.140360414981842041e-01,1.710137426853179932e-01,1.263607978820800781e+00,1.263778722204733640e-05,2.930228132754564285e-03,2.954972442239522934e-03,0.000000000000000000e+00,1.666150093078613281e-01,1.703105681372107938e-06,1.229071949637727812e-05
3.186420500278472900e-01,1.812763512134552002e-01,1.244947910308837891e+00,1.339618575002532452e-05,2.916238503530621529e-03,2.941097132861614227e-03,0.000000000000000000e+00,1.287091821432113647e-01,1.703105681372107938e-06,9.490082447882741690e-06
3.158946335315704346e-01,1.825106889009475708e-01,1.239047288894653320e+00,1.348740170215023682e-05,2.796469721943140030e-03,2.821322064846754074e-03,0.000000000000000000e+00,9.479238092899322510e-02,1.703105681372107938e-06,6.984335414017550647e-06
3.079971373081207275e-01,1.759499758481979370e-01,1.241670489311218262e+00,1.300256917602382600e-05,2.743234392255544662e-03,2.767741912975907326e-03,0.000000000000000000e+00,7.880115509033203125e-02,1.703105681372107938e-06,5.803361091238912195e-06
2.982139587402343750e-01,1.645334213972091675e-01,1.251500725746154785e+00,1.215889551531290635e-05,2.719203708693385124e-03,2.744086319580674171e-03,0.000000000000000000e+00,8.530481159687042236e-02,1.703105681372107938e-06,6.284782102738972753e-06
2.876352965831756592e-01,1.504495590925216675e-01,1.266742110252380371e+00,1.111810888687614352e-05,2.647490706294775009e-03,2.672850620001554489e-03,0.000000000000000000e+00,1.051152870059013367e-01,1.703105681372107938e-06,7.749536962364800274e-06
2.754212915897369385e-01,1.349599361419677734e-01,1.284828901290893555e+00,9.973437045118771493e-06,2.527894219383597374e-03,2.553572412580251694e-03,0.000000000000000000e+00,1.197847723960876465e-01,1.703105681372107938e-06,8.834263098833616823e-06
2.623096108436584473e-01,1.201606690883636475e-01,1.304557681083679199e+00,8.879782399162650108e-06,2.411576919257640839e-03,2.437349176034331322e-03,0.000000000000000000e+00,1.169316917657852173e-01,1.703105681372107938e-06,8.623906978755258024e-06
2.518765926361083984e-01,1.093760430812835693e-01,1.325655817985534668e+00,8.082806743914261460e-06,2.313354518264532089e-03,2.338916994631290436e-03,0.000000000000000000e+00,9.934948384761810303e-02,1.703105681372107938e-06,7.324871148739475757e-06
2.469666451215744019e-01,1.044732555747032166e-01,1.345568060874938965e+00,7.720494977547787130e-06,2.233568578958511353e-03,2.258670050650835037e-03,0.000000000000000000e+00,7.936580479145050049e-02,1.703105681372107938e-06,5.848177352163475007e-06
2.462901175022125244e-01,1.037229076027870178e-01,1.357596158981323242e+00,7.665043995075393468e-06,2.164291450753808022e-03,2.188872545957565308e-03,0.000000000000000000e+00,6.807594001293182373e-02,1.703105681372107938e-06,5.013795089325867593e-06
2.457657158374786377e-01,1.033045798540115356e-01,1.355259776115417480e+00,7.634129360667429864e-06,2.100586425513029099e-03,2.124816179275512695e-03,0.000000000000000000e+00,6.935147941112518311e-02,1.703105681372107938e-06,5.107884589961031452e-06
2.429106086492538452e-01,1.011064052581787109e-01,1.337828397750854492e+00,7.471686785720521584e-06,2.050329931080341339e-03,2.074479125440120697e-03,0.000000000000000000e+00,8.021350204944610596e-02,1.703105681372107938e-06,5.910360414418391883e-06
