step,phase_0_adam_1_lbfgs,weighted_pde_residual
1.000000000000000000e+00,0.000000000000000000e+00,1.392278101357903086e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.375721398559326403e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.354283643212728983e+00
4.000000000000000000e+00,0.000000000000000000e+00,1.327051627941566725e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.293455787261778900e+00
6.000000000000000000e+00,0.000000000000000000e+00,1.252788165986137736e+00
7.000000000000000000e+00,0.000000000000000000e+00,1.204239796733922674e+00
8.000000000000000000e+00,0.000000000000000000e+00,1.147074306770072383e+00
9.000000000000000000e+00,0.000000000000000000e+00,1.080775850205647037e+00
1.000000000000000000e+01,0.000000000000000000e+00,1.005163074204389329e+00
1.100000000000000000e+01,0.000000000000000000e+00,9.206494617126823599e-01
1.200000000000000000e+01,0.000000000000000000e+00,8.285586200734808004e-01
1.300000000000000000e+01,0.000000000000000000e+00,7.314312025500382397e-01
1.400000000000000000e+01,0.000000000000000000e+00,6.332849322254104907e-01
1.500000000000000000e+01,0.000000000000000000e+00,5.397626075832532289e-01
1.600000000000000000e+01,0.000000000000000000e+00,4.579902769337916846e-01
1.700000000000000000e+01,0.000000000000000000e+00,3.958454328707490810e-01
1.800000000000000000e+01,0.000000000000000000e+00,3.602387976717779106e-01
1.900000000000000000e+01,0.000000000000000000e+00,3.540194829127801812e-01
2.000000000000000000e+01,0.000000000000000000e+00,3.722943902023934104e-01
2.100000000000000000e+01,0.000000000000000000e+00,4.018518622439030130e-01
2.200000000000000000e+01,0.000000000000000000e+00,4.270900530576589582e-01
2.300000000000000000e+01,0.000000000000000000e+00,4.377587969028736703e-01
2.400000000000000000e+01,0.000000000000000000e+00,4.314514931219735616e-01
2.500000000000000000e+01,0.000000000000000000e+00,4.114147538556149897e-01
2.600000000000000000e+01,0.000000000000000000e+00,3.834704645140019075e-01
2.700000000000000000e+01,0.000000000000000000e+00,3.537557650989124336e-01
2.800000000000000000e+01,0.000000000000000000e+00,3.273585881077597515e-01
2.900000000000000000e+01,0.000000000000000000e+00,3.075996357268390158e-01
3.000000000000000000e+01,0.000000000000000000e+00,2.958053347397560651e-01
3.100000000000000000e+01,0.000000000000000000e+00,2.914908694556644364e-01
3.200000000000000000e+01,0.000000000000000000e+00,2.928539957731318144e-01
3.300000000000000000e+01,0.000000000000000000e+00,2.974264315885115639e-01
3.400000000000000000e+01,0.000000000000000000e+00,3.027096371231704497e-01
3.500000000000000000e+01,0.000000000000000000e+00,3.066600949190253500e-01
3.600000000000000000e+01,0.000000000000000000e+00,3.079625346396181462e-01
3.700000000000000000e+01,0.000000000000000000e+00,3.061008457159218321e-01
3.800000000000000000e+01,0.000000000000000000e+00,3.012792253975885570e-01
3.900000000000000000e+01,0.000000000000000000e+00,2.942533407222498454e-01
4.000000000000000000e+01,0.000000000000000000e+00,2.861157858012336463e-01
4.100000000000000000e+01,0.000000000000000000e+00,2.780625166994067365e-01
4.200000000000000000e+01,0.000000000000000000e+00,2.711603444287422615e-01
4.300000000000000000e+01,0.000000000000000000e+00,2.661411218297265457e-01
4.400000000000000000e+01,0.000000000000000000e+00,2.632589464460133311e-01
4.500000000000000000e+01,0.000000000000000000e+00,2.622511714564692564e-01
4.600000000000000000e+01,0.000000000000000000e+00,2.624302545948224985e-01
4.700000000000000000e+01,0.000000000000000000e+00,2.628965220944334824e-01
4.800000000000000000e+01,0.000000000000000000e+00,2.628140672609768913e-01
4.900000000000000000e+01,0.000000000000000000e+00,2.616611587120096782e-01
5.000000000000000000e+01,0.000000000000000000e+00,2.593742068308364512e-01
5.100000000000000000e+01,0.000000000000000000e+00,2.563445365220750616e-01
5.200000000000000000e+01,0.000000000000000000e+00,2.532741932499240067e-01
5.300000000000000000e+01,0.000000000000000000e+00,2.509308271865103301e-01
5.400000000000000000e+01,0.000000000000000000e+00,2.498622463881155498e-01
5.500000000000000000e+01,0.000000000000000000e+00,2.501534297759014369e-01
5.600000000000000000e+01,0.000000000000000000e+00,2.513396883012060656e-01
5.700000000000000000e+01,0.000000000000000000e+00,2.525847403042624228e-01
5.800000000000000000e+01,0.000000000000000000e+00,2.530979546753400200e-01
5.900000000000000000e+01,0.000000000000000000e+00,2.525426443901306328e-01
6.000000000000000000e+01,0.000000000000000000e+00,2.511534533072580233e-01
6.100000000000000000e+01,0.000000000000000000e+00,2.495220676433755058e-01
6.200000000000000000e+01,0.000000000000000000e+00,2.482406272223233734e-01
6.300000000000000000e+01,0.000000000000000000e+00,2.476225392587473317e-01
6.400000000000000000e+01,0.000000000000000000e+00,2.476177669462861775e-01
6.500000000000000000e+01,0.000000000000000000e+00,2.479151096941638321e-01
6.600000000000000000e+01,0.000000000000000000e+00,2.481392421478278432e-01
6.700000000000000000e+01,0.000000000000000000e+00,2.480306750324381415e-01
6.800000000000000000e+01,0.000000000000000000e+00,2.475344183449882940e-01
6.900000000000000000e+01,0.000000000000000000e+00,2.467825567898225547e-01
7.000000000000000000e+01,0.000000000000000000e+00,2.460023654308126084e-01
7.100000000000000000e+01,0.000000000000000000e+00,2.454017719735544500e-01
7.200000000000000000e+01,0.000000000000000000e+00,2.450815719853877694e-01
7.300000000000000000e+01,0.000000000000000000e+00,2.450062285855615918e-01
7.400000000000000000e+01,0.000000000000000000e+00,2.450385487564792353e-01
7.500000000000000000e+01,0.000000000000000000e+00,2.450158015840167292e-01
7.600000000000000000e+01,0.000000000000000000e+00,2.448274045753487949e-01
7.700000000000000000e+01,0.000000000000000000e+00,2.444570620592156074e-01
7.800000000000000000e+01,0.000000000000000000e+00,2.439740791418138766e-01
7.900000000000000000e+01,0.000000000000000000e+00,2.434858517909342657e-01
8.000000000000000000e+01,0.000000000000000000e+00,2.430804961203284487e-01
8.100000000000000000e+01,0.000000000000000000e+00,2.427883463416565801e-01
8.200000000000000000e+01,0.000000000000000000e+00,2.425772802241655257e-01
8.300000000000000000e+01,0.000000000000000000e+00,2.423786218015067662e-01
8.400000000000000000e+01,0.000000000000000000e+00,2.421267100745064793e-01
8.500000000000000000e+01,0.000000000000000000e+00,2.417913891014780159e-01
8.600000000000000000e+01,0.000000000000000000e+00,2.413887956025678183e-01
8.700000000000000000e+01,0.000000000000000000e+00,2.409677492246579678e-01
8.800000000000000000e+01,0.000000000000000000e+00,2.405809130262687168e-01
8.900000000000000000e+01,0.000000000000000000e+00,2.402566214424329272e-01
9.000000000000000000e+01,0.000000000000000000e+00,2.399861115092716268e-01
9.100000000000000000e+01,0.000000000000000000e+00,2.397322087906366139e-01
9.200000000000000000e+01,0.000000000000000000e+00,2.394533339068902755e-01
9.300000000000000000e+01,0.000000000000000000e+00,2.391278225007389402e-01
9.400000000000000000e+01,0.000000000000000000e+00,2.387639144291740512e-01
9.500000000000000000e+01,0.000000000000000000e+00,2.383905483808700376e-01
9.600000000000000000e+01,0.000000000000000000e+00,2.380366208949912799e-01
9.700000000000000000e+01,0.000000000000000000e+00,2.377129882196817312e-01
9.800000000000000000e+01,0.000000000000000000e+00,2.374082174709216952e-01
9.900000000000000000e+01,0.000000000000000000e+00,2.370990656656606355e-01
1.000000000000000000e+02,0.000000000000000000e+00,2.367671459792338728e-01
1.010000000000000000e+02,0.000000000000000000e+00,2.364102928270634951e-01
1.020000000000000000e+02,0.000000000000000000e+00,2.360418804971828044e-01
1.030000000000000000e+02,0.000000000000000000e+00,2.356799167797454242e-01
1.040000000000000000e+02,0.000000000000000000e+00,2.353342927263653017e-01
1.050000000000000000e+02,0.000000000000000000e+00,2.350010498887614707e-01
1.060000000000000000e+02,0.000000000000000000e+00,2.346669521058791785e-01
1.070000000000000000e+02,0.000000000000000000e+00,2.343201008153510956e-01
1.080000000000000000e+02,0.000000000000000000e+00,2.339583156839895317e-01
1.090000000000000000e+02,0.000000000000000000e+00,2.335893947223368072e-01
1.100000000000000000e+02,0.000000000000000000e+00,2.332240098469051393e-01
1.110000000000000000e+02,0.000000000000000000e+00,2.328674462955763746e-01
1.120000000000000000e+02,0.000000000000000000e+00,2.325165435152108662e-01
1.130000000000000000e+02,0.000000000000000000e+00,2.321634703888343643e-01
1.140000000000000000e+02,0.000000000000000000e+00,2.318025368198052549e-01
1.150000000000000000e+02,0.000000000000000000e+00,2.314343577869785729e-01
1.160000000000000000e+02,0.000000000000000000e+00,2.310644135138446020e-01
1.170000000000000000e+02,0.000000000000000000e+00,2.306978122308151469e-01
1.180000000000000000e+02,0.000000000000000000e+00,2.303349444041176697e-01
1.190000000000000000e+02,0.000000000000000000e+00,2.299715537736476412e-01
1.200000000000000000e+02,0.000000000000000000e+00,2.296027370641749443e-01
1.210000000000000000e+02,0.000000000000000000e+00,2.292270583395553674e-01
1.220000000000000000e+02,0.000000000000000000e+00,2.288471901958561983e-01
