# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+01,9.111958092944405507e-06,nan
2.000000000000000000e+01,8.927810569048233447e-06,nan
3.000000000000000000e+01,8.763496708752427367e-06,nan
4.000000000000000000e+01,8.624031778481366928e-06,nan
5.000000000000000000e+01,8.544233395468836534e-06,nan
6.000000000000000000e+01,8.441938007308635861e-06,nan
7.000000000000000000e+01,8.340745836221685749e-06,nan
8.000000000000000000e+01,8.204083684404395171e-06,nan
9.000000000000000000e+01,8.049323952263875981e-06,nan
1.000000000000000000e+02,7.890237583296766388e-06,nan
1.100000000000000000e+02,7.747757791776166414e-06,nan
1.200000000000000000e+02,7.634543152335027116e-06,nan
1.300000000000000000e+02,7.390279677110811463e-06,nan
1.400000000000000000e+02,7.171118113546981476e-06,nan
1.500000000000000000e+02,6.930675482408332755e-06,nan
1.600000000000000000e+02,7.028060906577593414e-06,nan
1.700000000000000000e+02,6.420716033517237520e-06,nan
1.800000000000000000e+02,6.203686069738978404e-06,nan
1.900000000000000000e+02,5.862489842911600135e-06,nan
2.000000000000000000e+02,5.344136269513910520e-06,nan
2.100000000000000000e+02,5.075418641808937537e-06,nan
2.200000000000000000e+02,4.715437199820371461e-06,nan
2.300000000000000000e+02,4.496143247934014653e-06,nan
2.400000000000000000e+02,4.287433185368172417e-06,nan
2.500000000000000000e+02,4.097829346960679686e-06,nan
2.600000000000000000e+02,3.965534205008225399e-06,nan
2.700000000000000000e+02,3.876674412595093600e-06,nan
2.800000000000000000e+02,3.739757190146519861e-06,nan
2.900000000000000000e+02,3.621090044703123567e-06,nan
3.000000000000000000e+02,3.568705778889125213e-06,nan
3.100000000000000000e+02,3.522157427937600005e-06,nan
3.200000000000000000e+02,3.477073988733536680e-06,nan
3.300000000000000000e+02,3.425492707265220815e-06,nan
3.400000000000000000e+02,3.358730182867475378e-06,nan
3.500000000000000000e+02,3.299979027815425070e-06,nan
3.600000000000000000e+02,3.251729395969960024e-06,nan
3.700000000000000000e+02,3.218087940126679314e-06,nan
3.800000000000000000e+02,3.167598990216902166e-06,nan
3.900000000000000000e+02,3.136239655532335746e-06,nan
4.000000000000000000e+02,3.108436615661958058e-06,nan
4.100000000000000000e+02,3.078326869854208780e-06,nan
4.200000000000000000e+02,3.046418171948062081e-06,nan
4.300000000000000000e+02,3.008087531952696736e-06,nan
4.400000000000000000e+02,2.942800691130287305e-06,nan
4.500000000000000000e+02,2.904244254864352115e-06,nan
4.600000000000000000e+02,2.869181074061089021e-06,nan
4.700000000000000000e+02,2.821028900257260830e-06,nan
4.800000000000000000e+02,2.770420351794200542e-06,nan
4.900000000000000000e+02,2.733269582222419558e-06,nan
5.000000000000000000e+02,2.698299795156344771e-06,nan
5.100000000000000000e+02,2.670429338991198165e-06,nan
5.200000000000000000e+02,2.641003817416276434e-06,nan
5.300000000000000000e+02,2.604896096158881846e-06,nan
5.400000000000000000e+02,2.565642702734294289e-06,nan
5.500000000000000000e+02,2.542798853255590075e-06,nan
5.600000000000000000e+02,2.537856644835301267e-06,nan
5.700000000000000000e+02,2.476683874874652247e-06,nan
5.800000000000000000e+02,2.459136041466081224e-06,nan
5.900000000000000000e+02,2.426371324304454902e-06,nan
6.000000000000000000e+02,2.394517153447850433e-06,nan
6.100000000000000000e+02,2.364914706731724436e-06,nan
6.200000000000000000e+02,2.338306984484006534e-06,nan
6.300000000000000000e+02,2.316931713153280725e-06,nan
6.400000000000000000e+02,2.292927021585455805e-06,nan
6.500000000000000000e+02,2.260104935203344212e-06,nan
6.600000000000000000e+02,2.222609353452753567e-06,nan
6.700000000000000000e+02,2.189153434528634534e-06,nan
6.800000000000000000e+02,2.165577683399533271e-06,nan
6.900000000000000000e+02,2.140642592962649360e-06,nan
7.000000000000000000e+02,2.112719357683090493e-06,nan
7.100000000000000000e+02,2.081195830783144629e-06,nan
7.200000000000000000e+02,2.046876346639692201e-06,nan
7.300000000000000000e+02,2.027529504289304896e-06,nan
7.400000000000000000e+02,2.004953188361469074e-06,nan
7.500000000000000000e+02,1.993645369680052681e-06,nan
7.600000000000000000e+02,1.976033800588083977e-06,nan
7.700000000000000000e+02,1.956542163839003479e-06,nan
7.800000000000000000e+02,1.945475588627232355e-06,nan
7.900000000000000000e+02,1.929011361312404915e-06,nan
8.000000000000000000e+02,1.918544768386709620e-06,nan
8.100000000000000000e+02,1.894297490423468844e-06,nan
8.200000000000000000e+02,1.881227923661299428e-06,nan
8.300000000000000000e+02,1.868670906901570561e-06,nan
