# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+00,1.146096467971801758e+00,7.716126203536987083e-01
1.000000000000000000e+02,6.385603453963994980e-03,1.334217116236686637e-02
2.000000000000000000e+02,2.126765437424182892e-03,2.046814310597255913e-03
3.000000000000000000e+02,2.618784492369741201e-04,3.128223353996872793e-04
4.000000000000000000e+02,9.275355114368721843e-05,1.922067283885553588e-04
5.000000000000000000e+02,2.071057679131627083e-04,1.375068961351644139e-04
6.000000000000000000e+02,1.591290638316422701e-04,9.539862439851276305e-05
7.000000000000000000e+02,8.958687249105423689e-05,6.832621766079682586e-05
8.000000000000000000e+02,7.569881563540548086e-05,5.468710587592795220e-05
9.000000000000000000e+02,3.730289245140738785e-05,3.733637022378389063e-05
1.000000000000000000e+03,1.778419937181752175e-05,3.554147151589859548e-05
1.100000000000000000e+03,3.449455107329413295e-05,2.869543350243475356e-05
1.200000000000000000e+03,1.804492057999596000e-05,2.168175687984330647e-05
1.300000000000000000e+03,3.287798244855366647e-05,1.913977885124040632e-05
1.400000000000000000e+03,2.058133395621553063e-05,1.722206143313087591e-05
1.500000000000000000e+03,8.465030077786650509e-06,1.646358177822549032e-05
1.600000000000000000e+03,1.056664950738195330e-05,1.673013184699811973e-05
1.700000000000000000e+03,9.341699296783190221e-06,1.506258777226321433e-05
1.800000000000000000e+03,1.576473005115985870e-05,1.480495329815312356e-05
1.900000000000000000e+03,1.300646090385271236e-05,1.534609946247655966e-05
2.000000000000000000e+03,2.108368789777159691e-05,1.546321254863869399e-05
2.100000000000000000e+03,1.054576841852394864e-05,1.349951035081176053e-05
2.200000000000000000e+03,2.068053254333790392e-05,1.336348632321460139e-05
2.300000000000000000e+03,9.225594112649559975e-06,1.345207147096516564e-05
2.400000000000000000e+03,9.295563359046354890e-06,1.325804651060025275e-05
2.500000000000000000e+03,1.557604809931945056e-05,1.347492452623555369e-05
2.510000000000000000e+03,1.395068005649591214e-05,nan
2.520000000000000000e+03,1.327426497255146387e-05,nan
2.530000000000000000e+03,1.276000131156251882e-05,nan
2.540000000000000000e+03,1.250810228725640627e-05,nan
2.550000000000000000e+03,1.203351430945076572e-05,nan
2.560000000000000000e+03,1.157040227894867712e-05,nan
2.570000000000000000e+03,1.118733538874039368e-05,nan
2.580000000000000000e+03,1.085222044139300124e-05,nan
2.590000000000000000e+03,1.049684863119182410e-05,nan
2.600000000000000000e+03,1.013892938317439985e-05,nan
2.610000000000000000e+03,9.855424451643557404e-06,nan
2.620000000000000000e+03,9.600568915857365937e-06,nan
2.630000000000000000e+03,9.269008415913049248e-06,nan
2.631000000000000000e+03,nan,8.675167373439763080e-06
