# total,frequency_equation,frequency_initial,physical_equation,physical_initial
8.697930908203125000e+01,1.150786995887756348e+00,7.547143697738647461e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.021081542968750000e+01,9.667539000511169434e-01,7.054327130317687988e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.302342987060546875e+01,1.010573863983154297e+00,7.291769385337829590e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.288678741455078125e+01,9.825994968414306641e-01,7.306079268455505371e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.227143859863281250e+01,8.197410106658935547e-01,7.407402992248535156e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.847911071777343750e+01,8.665814399719238281e-01,6.981329321861267090e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.117837524414062500e+01,7.918778061866760254e-01,7.325959801673889160e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.883912658691406250e+01,7.496657371520996094e-01,7.134246826171875000e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.585129547119140625e+01,6.643440723419189453e-01,6.920785903930664062e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.773190307617187500e+01,6.824588775634765625e-01,7.090731859207153320e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.556511688232421875e+01,5.973479747772216797e-01,6.959163546562194824e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.567369842529296875e+01,5.741478204727172852e-01,6.993222236633300781e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.252901458740234375e+01,5.466657876968383789e-01,6.706235408782958984e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.340367889404296875e+01,4.955934584140777588e-01,6.844774484634399414e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.297817230224609375e+01,4.463196992874145508e-01,6.851497888565063477e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.196163177490234375e+01,4.519947767257690430e-01,6.744167804718017578e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.181311035156250000e+01,4.228376746177673340e-01,6.758473515510559082e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.044028472900390625e+01,3.541391491889953613e-01,6.689889430999755859e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.859338378906250000e+01,3.202369809150695801e-01,6.539101600646972656e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.760945129394531250e+01,2.992711663246154785e-01,6.461673378944396973e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.876045989990234375e+01,2.516542077064514160e-01,6.624392271041870117e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.872283935546875000e+01,2.096805423498153687e-01,6.662603616714477539e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.756041717529296875e+01,1.967210471630096436e-01,6.559320688247680664e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.619913482666015625e+01,1.654362678527832031e-01,6.454476714134216309e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.505213928222656250e+01,1.400287747383117676e-01,6.365184783935546875e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.488786315917968750e+01,1.150043010711669922e-01,6.373782157897949219e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.251061248779296875e+01,9.648056328296661377e-02,6.154580712318420410e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.372305297851562500e+01,7.637849450111389160e-02,6.295926570892333984e-01,0.000000000000000000e+00,0.000000000000000000e+00
