alpha,u1_mae,u1_rmse,u1_max_abs,u1_relative_l2,u2_mae,u2_rmse,u2_max_abs,u2_relative_l2,total_mae,total_rmse,total_max_abs,total_relative_l2,u1_t1_mae,u1_t1_rmse,u1_t1_max_abs,u1_t1_relative_l2,u2_t1_mae,u2_t1_rmse,u2_t1_max_abs,u2_t1_relative_l2,total_t1_mae,total_t1_rmse,total_t1_max_abs,total_t1_relative_l2
0.4,7.706106413263483e-05,0.00010699873228384442,0.0004707503964727234,0.0008969858616498798,2.9712722574112157e-05,4.307272103255422e-05,0.00032917776730546086,0.0002564987682840063,8.327292430722177e-05,0.00011462810582184115,0.0005500698826306232,0.00042990591102017695,0.00011162783055178026,0.0001486437369597622,0.0004707503964727234,0.002041171331263193,4.119061403652007e-05,5.526362997236769e-05,0.00032917776730546086,0.0001987066793212485,0.0001219405837702321,0.00015863746380007755,0.0005500698826306232,0.0004546113251377403
0.8,6.813894202846067e-05,9.077082179026871e-05,0.00040377723441112345,0.0007384700711020873,3.227878196258096e-05,4.894830831643233e-05,0.00037076763331411744,0.0002960644685100736,7.483835755450516e-05,9.96403560051524e-05,0.00045993620412210223,0.0003736952444224011,8.615830703052462e-05,0.00010801894403639247,0.0003038957481544813,0.001321652410365691,4.893564332851277e-05,6.574843432318199e-05,0.00037076763331411744,0.00024049687094752697,9.635690987310604e-05,0.00012131780411069759,0.00045993620412210223,0.00034766344827014356
1.2,8.493737678342806e-05,0.00011135581189803544,0.00040737597057206865,0.0008856930757907383,3.794258909748905e-05,5.520362269824333e-05,0.0004961149763873778,0.00033625730187829896,9.591627986826811e-05,0.00012603368284169283,0.0006230921992073091,0.00047268185104182433,0.00010085946940936865,0.00013111215966137745,0.00040737597057206865,0.0014665601994420527,5.510577757557642e-05,7.284354286960747e-05,0.0004961149763873778,0.0002695584656786342,0.00011934562142671998,0.00015266357728384373,0.0006230921992073091,0.000437491809984686
1.6,8.572629490789835e-05,0.00011204070418226857,0.0004653308221621707,0.0008762764152623596,5.726668095133594e-05,8.140484576139551e-05,0.0007516487400760496,0.0004965650025879552,0.0001073408730618854,0.00014153295265799731,0.000996481406032812,0.0005308109430542328,0.00012520454911974188,0.00015911846181096613,0.0004653308221621707,0.0016632691301044294,8.44345678579365e-05,0.00011088853265283135,0.0007516487400760496,0.0004136360528239643,0.00015454124483735618,0.00019892713498856118,0.000996481406032812,0.0005700704378189872
2.0,8.048323191379238e-05,0.00010153900494266885,0.00039194110675534743,0.0007841704839381338,8.420802666619794e-05,0.0001234364107665354,0.000922018169848382,0.0007515261063741249,0.00012048188565817981,0.0001617305508673011,0.0011112030542916873,0.0006065608369946052,0.00011186752208161243,0.00013786452504906084,0.00039194110675534743,0.0013686489620467668,0.00011947251942781459,0.00016081929012921629,0.0008981450386997825,0.0006034152693938468,0.0001635486211062017,0.0002128690415586599,0.0010152873346276348,0.0006100241061956248
