# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
1.536344051361083984e+00,1.379695177078247070e+00,1.124870657920837402e+00,4.658448696136474609e-01,5.671469569206237793e-01,5.678769350051879883e-01,0.000000000000000000e+00,4.416181445121765137e-01,1.116180210374295712e-03,1.524754166603088379e-01
1.490645766258239746e+00,1.334580659866333008e+00,1.086774468421936035e+00,4.506122469902038574e-01,5.574114322662353516e-01,5.581443309783935547e-01,0.000000000000000000e+00,4.738769531250000000e-01,1.116180210374295712e-03,1.634026169776916504e-01
1.445886015892028809e+00,1.290318131446838379e+00,1.049476027488708496e+00,4.356672763824462891e-01,5.477291345596313477e-01,5.484648346900939941e-01,0.000000000000000000e+00,5.062032938003540039e-01,1.116180210374295712e-03,1.743512600660324097e-01
1.399789214134216309e+00,1.244863152503967285e+00,1.011207461357116699e+00,4.203197360038757324e-01,5.376678705215454102e-01,5.384061932563781738e-01,0.000000000000000000e+00,5.380532145500183105e-01,1.116180210374295712e-03,1.851373314857482910e-01
1.350155949592590332e+00,1.196244120597839355e+00,9.702829718589782715e-01,4.039038419723510742e-01,5.267534255981445312e-01,5.274952650070190430e-01,0.000000000000000000e+00,5.688356757164001465e-01,1.116180210374295712e-03,1.955608129501342773e-01
1.294206023216247559e+00,1.141994237899780273e+00,9.246175289154052734e-01,3.855867385864257812e-01,5.143829584121704102e-01,5.151287913322448730e-01,0.000000000000000000e+00,5.975003242492675781e-01,1.116180210374295712e-03,2.052662074565887451e-01
1.228354215621948242e+00,1.078978776931762695e+00,8.715966939926147461e-01,3.643100261688232422e-01,4.997413158416748047e-01,5.004890561103820801e-01,0.000000000000000000e+00,6.221576929092407227e-01,1.116180210374295712e-03,2.136140763759613037e-01
1.148045539855957031e+00,1.003292083740234375e+00,8.080232143402099609e-01,3.387548625469207764e-01,4.816712737083435059e-01,4.824227988719940186e-01,0.000000000000000000e+00,6.395109891891479492e-01,1.116180210374295712e-03,2.194884717464447021e-01
1.047782421112060547e+00,9.103570580482482910e-01,7.302699089050292969e-01,3.073759973049163818e-01,4.586236178874969482e-01,4.593813419342041016e-01,0.000000000000000000e+00,6.439830064773559570e-01,1.116180210374295712e-03,2.210015654563903809e-01
9.214888215065002441e-01,7.953131198883056641e-01,6.347473263740539551e-01,2.685321867465972900e-01,4.284973740577697754e-01,4.292609989643096924e-01,0.000000000000000000e+00,6.270098090171813965e-01,1.116180210374295712e-03,2.152541279792785645e-01
7.637288570404052734e-01,6.542507410049438477e-01,5.192210674285888672e-01,2.209033966064453125e-01,3.885526061058044434e-01,3.893286883831024170e-01,0.000000000000000000e+00,5.755602121353149414e-01,1.116180210374295712e-03,1.978328824043273926e-01
5.724186301231384277e-01,4.866048097610473633e-01,3.853366374969482422e-01,1.642988622188568115e-01,3.352729976177215576e-01,3.360640406608581543e-01,0.000000000000000000e+00,4.728015959262847900e-01,1.116180210374295712e-03,1.630315482616424561e-01
3.552983701229095459e-01,3.002344369888305664e-01,2.439596801996231079e-01,1.013721525669097900e-01,2.639687955379486084e-01,2.647735774517059326e-01,0.000000000000000000e+00,3.066796064376831055e-01,1.116180210374295712e-03,1.067392230033874512e-01
1.467486619949340820e-01,1.227390095591545105e-01,1.270961016416549683e-01,4.144200310111045837e-02,1.698596030473709106e-01,1.706739068031311035e-01,0.000000000000000000e+00,1.130004227161407471e-01,1.116180210374295712e-03,4.097118228673934937e-02
5.454393476247787476e-02,2.944723516702651978e-02,1.158922165632247925e-01,9.942661970853805542e-03,8.096219599246978760e-02,8.180947601795196533e-02,0.000000000000000000e+00,1.350747644901275635e-01,1.116180210374295712e-03,4.777954518795013428e-02
2.017399072647094727e-01,1.372778415679931641e-01,3.150574564933776855e-01,4.635094851255416870e-02,1.549538373947143555e-01,1.554318964481353760e-01,0.000000000000000000e+00,3.295630812644958496e-01,1.116180210374295712e-03,1.130942553281784058e-01
2.620922029018402100e-01,2.055289149284362793e-01,3.994908630847930908e-01,6.939546763896942139e-02,1.936444789171218872e-01,1.942426264286041260e-01,0.000000000000000000e+00,1.661418676376342773e-01,1.116180210374295712e-03,5.815548449754714966e-02
1.759527623653411865e-01,1.398414075374603271e-01,3.039886653423309326e-01,4.721651598811149597e-02,1.570989489555358887e-01,1.576274335384368896e-01,0.000000000000000000e+00,5.712494999170303345e-02,1.116180210374295712e-03,2.174220606684684753e-02
8.679758012294769287e-02,5.910334363579750061e-02,1.814326643943786621e-01,1.995584927499294281e-02,1.015603989362716675e-01,1.022160872817039490e-01,0.000000000000000000e+00,9.550975263118743896e-02,1.116180210374295712e-03,3.500468283891677856e-02
4.504118859767913818e-02,1.984528452157974243e-02,1.042911186814308167e-01,6.700627505779266357e-03,6.491830199956893921e-02,6.569696962833404541e-02,0.000000000000000000e+00,1.476679146289825439e-01,1.116180210374295712e-03,5.275573581457138062e-02
3.963331133127212524e-02,1.745251938700675964e-02,7.320716977119445801e-02,5.892726127058267593e-03,6.581617891788482666e-02,6.668485701084136963e-02,0.000000000000000000e+00,1.486007571220397949e-01,1.116180210374295712e-03,5.307342112064361572e-02
