example,alpha,status,u1_mae,u1_rmse,u1_max_abs,u1_relative_l2,u2_mae,u2_rmse,u2_max_abs,u2_relative_l2,total_mae,total_rmse,total_max_abs,total_relative_l2,u1_t1_mae,u1_t1_rmse,u1_t1_max_abs,u1_t1_relative_l2,u2_t1_mae,u2_t1_rmse,u2_t1_max_abs,u2_t1_relative_l2,total_t1_mae,total_t1_rmse,total_t1_max_abs,total_t1_relative_l2,metrics_file
1,0.4,completed,0.00043371805770754424,0.0005904927430022739,0.001918798079714179,0.11051053047867525,4.743928455650361e-06,5.9058236311316485e-06,1.619383692741394e-05,0.0005980042070717877,0.00043182431915091265,0.0005893820900672641,0.001918798079714179,0.04237511371247537,9.875831252429634e-05,0.00011115013565365361,0.00017268629744648933,0.04372321286220635,7.226166726468364e-06,8.852888578405232e-06,1.619383692741394e-05,0.0005591498124423131,9.447609265649249e-05,0.00010649520529091448,0.00015977118164300919,0.005850543176381718,other/alpha_0_4/metrics.json
1,0.8,completed,0.00019793921132824177,0.00038576272311546204,0.001919357106089592,0.08150079254171336,1.2303037281113844e-05,1.5487976961617466e-05,4.02047298848629e-05,0.0014460781923936413,0.0002065068076723782,0.00038819764794414523,0.001919357106089592,0.027910450201619235,4.868512623943389e-06,5.501174710648071e-06,8.775154128670692e-06,0.0025377582831977,1.8111395138475928e-05,2.131387669876056e-05,3.8508325815200806e-05,0.0012975674560420905,2.0159086529503155e-05,2.4238476931719477e-05,4.5027583837509155e-05,0.0013315928677857132,other/alpha_0_8/metrics.json
1,1.2,completed,8.631664252954932e-05,0.00025963779204462,0.0019205904100090265,0.061435944231593015,2.6602229101332625e-05,3.2572186989015464e-05,7.400475442409515e-05,0.0028927964691260314,0.00011172327717451076,0.00026522822699290527,0.0019205904100090265,0.019069253151720155,1.4781515346840024e-06,1.5631450549197464e-06,2.2533349692821503e-06,0.0007761192897053199,3.490721010791731e-05,4.029850524670056e-05,7.301196455955505e-05,0.0024237025736372334,3.475350761121376e-05,4.04946353417652e-05,7.393211126327515e-05,0.0022246598974258475,other/alpha_1_2/metrics.json
1,1.6,completed,4.519004050822303e-05,0.00018721728613020776,0.0019177808426320553,0.048931296230430125,6.647948349296448e-05,7.73857510295463e-05,0.00016771070659160614,0.006684258470009906,9.786462246249844e-05,0.00019835963097692688,0.0019177808426320553,0.014261566580098554,6.483943434432149e-07,9.13645801508415e-07,1.8888385966420174e-06,0.0004645207906450269,8.53374561847886e-05,9.738199857205609e-05,0.00016771070659160614,0.005837523727844072,8.505119508797065e-05,9.72312181619781e-05,0.00016779080033302307,0.00534160611639644,other/alpha_1_6/metrics.json
1,2.0,completed,3.141691664027219e-05,0.00015713580900610636,0.0019760108552873135,0.04462131758491006,4.262272633940396e-06,5.864162586175137e-06,6.0769845731556416e-05,0.000498446053895101,3.334497846572242e-05,0.00015737714351574415,0.0019760108552873135,0.01131502715235734,6.9942587288096545e-06,8.657161358320279e-06,1.445016823709011e-05,0.0044154392315174425,3.9478241797041845e-06,4.988237883004892e-06,1.5335623174905777e-05,0.00029881058595461794,8.788332659293019e-06,1.11617364938379e-05,2.538645640015602e-05,0.0006131940034502691,other/alpha_2_0/metrics.json
