# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+00,1.783004760742187500e+00,1.225967314839363054e+00
1.000000000000000000e+02,1.821031793951988220e-02,3.584373034536838393e-02
2.000000000000000000e+02,6.783729419112205505e-03,5.767563451081514012e-03
3.000000000000000000e+02,1.197644742205739021e-03,1.322534598875790748e-03
4.000000000000000000e+02,3.081912291236221790e-04,8.280277485027909496e-04
5.000000000000000000e+02,7.482430664822459221e-04,5.260117352008820014e-04
6.000000000000000000e+02,3.695027844514697790e-04,3.299275456811301519e-04
7.000000000000000000e+02,2.733929723035544157e-04,2.191382474848069142e-04
8.000000000000000000e+02,3.519726160448044538e-04,1.733238714223261923e-04
9.000000000000000000e+02,9.127551311394199729e-05,1.285467224079184234e-04
1.000000000000000000e+03,1.018793991534039378e-04,1.224394371092785258e-04
1.100000000000000000e+03,7.718759297858923674e-05,9.767816809471696073e-05
1.200000000000000000e+03,4.923271990264765918e-05,9.304132727265823904e-05
1.300000000000000000e+03,1.228933979291468859e-04,8.024573617149144411e-05
1.400000000000000000e+03,9.037156996782869101e-05,7.177001680247485638e-05
1.500000000000000000e+03,4.191069092485122383e-05,6.757393930456601083e-05
1.600000000000000000e+03,3.724675480043515563e-05,6.928428229002747685e-05
1.700000000000000000e+03,3.040454248548485339e-05,6.006002622598316792e-05
1.800000000000000000e+03,6.999448669375851750e-05,5.724040966015309095e-05
1.900000000000000000e+03,5.166626579011790454e-05,5.751377466367557645e-05
2.000000000000000000e+03,9.849062189459800720e-05,5.774490600742865489e-05
2.100000000000000000e+03,2.768851118162274361e-05,5.231720715528354184e-05
2.200000000000000000e+03,8.181387966033071280e-05,5.164497997611761093e-05
2.300000000000000000e+03,2.701728953979909420e-05,5.159301035746466097e-05
2.400000000000000000e+03,3.183284934493713081e-05,5.092885439808014916e-05
2.500000000000000000e+03,5.471932672662660480e-05,5.143826783751137690e-05
2.510000000000000000e+03,5.219462786953954492e-05,nan
2.520000000000000000e+03,4.795798020040820120e-05,nan
2.530000000000000000e+03,4.405124889217404416e-05,nan
2.540000000000000000e+03,4.257400519236398395e-05,nan
2.550000000000000000e+03,3.714058220793958753e-05,nan
2.560000000000000000e+03,3.420265454678883543e-05,nan
2.570000000000000000e+03,3.141524598504474852e-05,nan
2.580000000000000000e+03,2.946820472971012350e-05,nan
2.590000000000000000e+03,2.716746450914797606e-05,nan
2.600000000000000000e+03,2.607450824143597856e-05,nan
2.610000000000000000e+03,2.478886665358004393e-05,nan
2.620000000000000000e+03,2.397336595549859339e-05,nan
2.630000000000000000e+03,2.323098954093438806e-05,nan
2.630000000000000000e+03,nan,2.170693987864069708e-05
