# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+01,2.282184561863687122e-05,nan
2.000000000000000000e+01,2.184549282446823781e-05,nan
3.000000000000000000e+01,2.111886522015993251e-05,nan
4.000000000000000000e+01,2.060038309537048917e-05,nan
5.000000000000000000e+01,2.003597569455450866e-05,nan
6.000000000000000000e+01,1.960922662647135439e-05,nan
7.000000000000000000e+01,1.927574061255654669e-05,nan
8.000000000000000000e+01,1.878661487353383563e-05,nan
9.000000000000000000e+01,1.803876574513196829e-05,nan
1.000000000000000000e+02,1.765548307730568922e-05,nan
1.100000000000000000e+02,1.729497887481556972e-05,nan
1.200000000000000000e+02,1.703706880107347388e-05,nan
1.300000000000000000e+02,1.689851529818042764e-05,nan
1.400000000000000000e+02,1.665294149688634207e-05,nan
1.500000000000000000e+02,1.632639737181307282e-05,nan
1.600000000000000000e+02,1.602418473112265929e-05,nan
1.700000000000000000e+02,1.558464543904847233e-05,nan
1.800000000000000000e+02,1.512103438017220469e-05,nan
1.900000000000000000e+02,1.478979368130239891e-05,nan
2.000000000000000000e+02,1.447287166911337408e-05,nan
2.100000000000000000e+02,1.408867353802634170e-05,nan
2.200000000000000000e+02,1.379392926992295543e-05,nan
2.300000000000000000e+02,1.362399456183993607e-05,nan
2.400000000000000000e+02,1.324900142662954750e-05,nan
2.500000000000000000e+02,1.308035382407979341e-05,nan
2.600000000000000000e+02,1.290125749164872104e-05,nan
2.700000000000000000e+02,1.269808365123026306e-05,nan
2.800000000000000000e+02,1.253319800298413611e-05,nan
2.900000000000000000e+02,1.231726969308510888e-05,nan
3.000000000000000000e+02,1.210919441518854001e-05,nan
3.100000000000000000e+02,1.175249985863047186e-05,nan
3.200000000000000000e+02,1.144249284834586433e-05,nan
3.300000000000000000e+02,1.114972116056378582e-05,nan
3.400000000000000000e+02,1.076719820503058145e-05,nan
3.500000000000000000e+02,1.058377904428198235e-05,nan
3.600000000000000000e+02,1.045550686740170931e-05,nan
3.700000000000000000e+02,1.016169250078746700e-05,nan
3.800000000000000000e+02,9.808517859255516669e-06,nan
3.900000000000000000e+02,9.596263339517463464e-06,nan
4.000000000000000000e+02,9.329935778623621445e-06,nan
4.100000000000000000e+02,9.127457190061250003e-06,nan
4.200000000000000000e+02,8.927903706990036881e-06,nan
4.300000000000000000e+02,8.778332130532362498e-06,nan
4.400000000000000000e+02,8.626852945781138260e-06,nan
4.500000000000000000e+02,8.448573510122514563e-06,nan
4.600000000000000000e+02,8.300480743628213531e-06,nan
4.700000000000000000e+02,8.135908359463428496e-06,nan
4.800000000000000000e+02,8.014765029429327114e-06,nan
4.900000000000000000e+02,7.898868290112659452e-06,nan
5.000000000000000000e+02,7.713384150065394351e-06,nan
5.100000000000000000e+02,7.573289451556775020e-06,nan
5.200000000000000000e+02,7.452307812627623207e-06,nan
5.300000000000000000e+02,7.332685669325655908e-06,nan
5.400000000000000000e+02,7.176861004154488910e-06,nan
5.500000000000000000e+02,7.080783063884155126e-06,nan
5.600000000000000000e+02,6.988043423916678876e-06,nan
5.700000000000000000e+02,6.890845725138206035e-06,nan
5.800000000000000000e+02,6.799223029929635231e-06,nan
5.900000000000000000e+02,6.700816072680026991e-06,nan
6.000000000000000000e+02,6.602623443541233428e-06,nan
6.100000000000000000e+02,6.469608706538565457e-06,nan
6.200000000000000000e+02,6.366580606709248968e-06,nan
6.300000000000000000e+02,6.291153397341986420e-06,nan
6.400000000000000000e+02,6.158834480629593600e-06,nan
6.500000000000000000e+02,5.998954463848349405e-06,nan
6.600000000000000000e+02,5.903036310428433353e-06,nan
6.700000000000000000e+02,5.791741017446838669e-06,nan
6.800000000000000000e+02,5.750416050886997255e-06,nan
6.900000000000000000e+02,5.576467685841635102e-06,nan
7.000000000000000000e+02,5.512202221780171385e-06,nan
7.100000000000000000e+02,5.469474757546777255e-06,nan
7.200000000000000000e+02,5.384922474149789196e-06,nan
7.300000000000000000e+02,5.323055972894508159e-06,nan
7.400000000000000000e+02,5.211128637938600150e-06,nan
7.500000000000000000e+02,5.135242531650874298e-06,nan
7.600000000000000000e+02,5.122797034573522978e-06,nan
7.700000000000000000e+02,5.014836631289654179e-06,nan
7.800000000000000000e+02,4.945401713030150859e-06,nan
7.900000000000000000e+02,4.893585725085358717e-06,nan
8.000000000000000000e+02,4.848384094202629058e-06,nan
8.100000000000000000e+02,4.796228324721596437e-06,nan
8.200000000000000000e+02,4.717446842050776468e-06,nan
8.300000000000000000e+02,4.638293944481119979e-06,nan
8.400000000000000000e+02,4.560558494404176599e-06,nan
8.500000000000000000e+02,4.512480586527090054e-06,nan
8.600000000000000000e+02,4.446728439688740764e-06,nan
8.700000000000000000e+02,4.378653073899840820e-06,nan
8.800000000000000000e+02,4.303433854602189967e-06,nan
8.900000000000000000e+02,4.216139160462262225e-06,nan
9.000000000000000000e+02,4.152835401782795088e-06,nan
9.100000000000000000e+02,4.095475247822832898e-06,nan
9.200000000000000000e+02,4.021893261096920469e-06,nan
9.300000000000000000e+02,3.950536793695391680e-06,nan
9.400000000000000000e+02,3.901382456206192728e-06,nan
9.500000000000000000e+02,3.855647648265403404e-06,nan
9.600000000000000000e+02,3.826537422924047860e-06,nan
9.700000000000000000e+02,3.788815021721347875e-06,nan
9.800000000000000000e+02,3.727525012209298438e-06,nan
9.900000000000000000e+02,3.673001103265960410e-06,nan
1.000000000000000000e+03,3.626921170507557690e-06,nan
1.010000000000000000e+03,3.586279575529260910e-06,nan
1.020000000000000000e+03,3.545042915220619761e-06,nan
1.030000000000000000e+03,3.510756670266346191e-06,nan
1.040000000000000000e+03,3.468757668656508031e-06,nan
1.050000000000000000e+03,3.421116318236272491e-06,nan
1.060000000000000000e+03,3.391412718656283687e-06,nan
1.070000000000000000e+03,3.366864461895602290e-06,nan
1.080000000000000000e+03,3.330610155671820394e-06,nan
1.090000000000000000e+03,3.294887861216011515e-06,nan
1.100000000000000000e+03,3.266844700533511059e-06,nan
1.110000000000000000e+03,3.219302257662093325e-06,nan
1.120000000000000000e+03,3.180219323439814616e-06,nan
1.130000000000000000e+03,3.148573043176838837e-06,nan
1.140000000000000000e+03,3.132049911869216885e-06,nan
1.150000000000000000e+03,3.094525666824665677e-06,nan
1.160000000000000000e+03,3.056921983102256490e-06,nan
1.170000000000000000e+03,3.009444540680306091e-06,nan
1.180000000000000000e+03,2.976336787696709507e-06,nan
1.190000000000000000e+03,2.927942574615371996e-06,nan
1.200000000000000000e+03,2.881604856952435512e-06,nan
1.210000000000000000e+03,2.855414550140267238e-06,nan
1.220000000000000000e+03,2.811581822470543557e-06,nan
1.230000000000000000e+03,2.775587503833776282e-06,nan
1.240000000000000000e+03,2.759365870019792055e-06,nan
1.250000000000000000e+03,2.729690848468635522e-06,nan
1.260000000000000000e+03,2.700646803077688674e-06,nan
1.270000000000000000e+03,2.662204011016910954e-06,nan
1.280000000000000000e+03,2.614295965486235218e-06,nan
1.290000000000000000e+03,2.587502308415423613e-06,nan
1.300000000000000000e+03,2.567000422004639404e-06,nan
1.305000000000000000e+03,nan,2.383862988608598413e-06
