step,phase_0_adam_1_lbfgs,weighted_pde_residual
9.400000000000000000e+01,0.000000000000000000e+00,3.849121833181899932e-01
9.500000000000000000e+01,0.000000000000000000e+00,3.842042011855864581e-01
9.600000000000000000e+01,0.000000000000000000e+00,3.835487012579342769e-01
9.700000000000000000e+01,0.000000000000000000e+00,3.829178875233503754e-01
9.800000000000000000e+01,0.000000000000000000e+00,3.822670819435100009e-01
9.900000000000000000e+01,0.000000000000000000e+00,3.815690544767348369e-01
1.000000000000000000e+02,0.000000000000000000e+00,3.808316507276034990e-01
1.010000000000000000e+02,0.000000000000000000e+00,3.800878857324976878e-01
1.020000000000000000e+02,0.000000000000000000e+00,3.793685890513474046e-01
1.030000000000000000e+02,0.000000000000000000e+00,3.786796500347646699e-01
1.040000000000000000e+02,0.000000000000000000e+00,3.780008197674135095e-01
1.050000000000000000e+02,0.000000000000000000e+00,3.773051067556544846e-01
1.060000000000000000e+02,0.000000000000000000e+00,3.765813501204411939e-01
1.070000000000000000e+02,0.000000000000000000e+00,3.758412666144864689e-01
1.080000000000000000e+02,0.000000000000000000e+00,3.751068571602555468e-01
1.090000000000000000e+02,0.000000000000000000e+00,3.743909610203950411e-01
1.100000000000000000e+02,0.000000000000000000e+00,3.736880665960125025e-01
1.110000000000000000e+02,0.000000000000000000e+00,3.729817645105665824e-01
1.120000000000000000e+02,0.000000000000000000e+00,3.722603267111232461e-01
1.130000000000000000e+02,0.000000000000000000e+00,3.715259897687801516e-01
1.140000000000000000e+02,0.000000000000000000e+00,3.707906292019892969e-01
1.150000000000000000e+02,0.000000000000000000e+00,3.700632238877168412e-01
1.160000000000000000e+02,0.000000000000000000e+00,3.693413362537264488e-01
1.170000000000000000e+02,0.000000000000000000e+00,3.686141175493071742e-01
1.180000000000000000e+02,0.000000000000000000e+00,3.678729499466596442e-01
1.190000000000000000e+02,0.000000000000000000e+00,3.671188101575474927e-01
1.200000000000000000e+02,0.000000000000000000e+00,3.663595080652599645e-01
