# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
2.037016391754150391e+00,1.780436158180236816e+00,2.389930486679077148e+00,1.395228027831763029e-04,8.746923878788948059e-03,8.770066313445568085e-03,0.000000000000000000e+00,1.758726388216018677e-01,1.714097720650897827e-06,1.370890004182001576e-05
1.996881842613220215e+00,1.742106080055236816e+00,2.356745004653930664e+00,1.365190692013129592e-04,8.670675568282604218e-03,8.693735115230083466e-03,0.000000000000000000e+00,1.910131722688674927e-01,1.714097720650897827e-06,1.489141413912875578e-05
1.957120180130004883e+00,1.704040169715881348e+00,2.323911428451538086e+00,1.335360575467348099e-04,8.595380000770092010e-03,8.618378080427646637e-03,0.000000000000000000e+00,2.068889439105987549e-01,1.714097720650897827e-06,1.613161475688684732e-05
1.915061116218566895e+00,1.663839459419250488e+00,2.289489746093750000e+00,1.303857570746913552e-04,8.515176363289356232e-03,8.538105525076389313e-03,0.000000000000000000e+00,2.227271795272827148e-01,1.714097720650897827e-06,1.736910235194955021e-05
1.867791414260864258e+00,1.618897199630737305e+00,2.251389026641845703e+00,1.268639025511220098e-04,8.423470892012119293e-03,8.446344174444675446e-03,0.000000000000000000e+00,2.375528216361999512e-01,1.714097720650897827e-06,1.852763671195134521e-05
1.811559081077575684e+00,1.565873742103576660e+00,2.206986904144287109e+00,1.227087486768141389e-04,8.311542682349681854e-03,8.334349840879440308e-03,0.000000000000000000e+00,2.498659640550613403e-01,1.714097720650897827e-06,1.948991848621517420e-05
1.741582751274108887e+00,1.500538587570190430e+00,2.153064012527465820e+00,1.175888100988231599e-04,8.167641237378120422e-03,8.190387859940528870e-03,0.000000000000000000e+00,2.573771476745605469e-01,1.714097720650897827e-06,2.007693547056987882e-05
1.651767849922180176e+00,1.417546987533569336e+00,2.085758447647094727e+00,1.110852099373005331e-04,7.975406944751739502e-03,7.998078130185604095e-03,0.000000000000000000e+00,2.564501166343688965e-01,1.714097720650897827e-06,2.000438689719885588e-05
1.534302949905395508e+00,1.310069441795349121e+00,2.000545501708984375e+00,1.026627942337654531e-04,7.710804697126150131e-03,7.733405567705631256e-03,0.000000000000000000e+00,2.417895942926406860e-01,1.714097720650897827e-06,1.885845631477423012e-05
1.380399942398071289e+00,1.170323610305786133e+00,1.893246412277221680e+00,9.171169949695467949e-05,7.339538075029850006e-03,7.362061645835638046e-03,0.000000000000000000e+00,2.075168937444686890e-01,1.714097720650897827e-06,1.618037458683829755e-05
1.182300567626953125e+00,9.907960295677185059e-01,1.762290596961975098e+00,7.764313340885564685e-05,6.811916828155517578e-03,6.834343075752258301e-03,0.000000000000000000e+00,1.527553349733352661e-01,1.714097720650897827e-06,1.190462899103295058e-05
9.389983415603637695e-01,7.673785686492919922e-01,1.614244699478149414e+00,6.013515667291358113e-05,6.059065461158752441e-03,6.081480998545885086e-03,0.000000000000000000e+00,1.019529849290847778e-01,1.714097720650897827e-06,7.952465239213779569e-06
6.728156805038452148e-01,5.091212987899780273e-01,1.477822303771972656e+00,3.989698234363459051e-05,5.035306327044963837e-03,5.057890899479389191e-03,0.000000000000000000e+00,1.591218411922454834e-01,1.714097720650897827e-06,1.248032822331879288e-05
4.472441077232360840e-01,2.629143893718719482e-01,1.426293015480041504e+00,2.060312544927000999e-05,3.676594002172350883e-03,3.699712920933961868e-03,0.000000000000000000e+00,4.170042276382446289e-01,1.714097720650897827e-06,3.274124173913151026e-05
3.607122600078582764e-01,1.443050354719161987e-01,1.579295039176940918e+00,1.130837426899233833e-05,2.621610183268785477e-03,2.642358420416712761e-03,0.000000000000000000e+00,5.847773551940917969e-01,1.714097720650897827e-06,4.591100514517165720e-05
4.880833029747009277e-01,2.540053427219390869e-01,1.947111129760742188e+00,1.990497548831626773e-05,3.096350468695163727e-03,3.114997874945402145e-03,0.000000000000000000e+00,3.936684131622314453e-01,1.714097720650897827e-06,3.090995596721768379e-05
5.205801725387573242e-01,3.052013218402862549e-01,2.007965803146362305e+00,2.391691668890416622e-05,3.488735761493444443e-03,3.506349632516503334e-03,0.000000000000000000e+00,1.458227634429931641e-01,1.714097720650897827e-06,1.143343069998081774e-05
4.318355023860931396e-01,2.398256510496139526e-01,1.811172723770141602e+00,1.879379306046757847e-05,3.421162487939000130e-03,3.438673913478851318e-03,0.000000000000000000e+00,1.089257448911666870e-01,1.714097720650897827e-06,8.494521352986339480e-06
3.504702746868133545e-01,1.748376339673995972e-01,1.588649511337280273e+00,1.370104564557550475e-05,3.188666887581348419e-03,3.206282854080200195e-03,0.000000000000000000e+00,1.676767617464065552e-01,1.714097720650897827e-06,1.306973717873916030e-05
3.189294934272766113e-01,1.541865319013595581e-01,1.438071608543395996e+00,1.208273351949173957e-05,3.016958944499492645e-03,3.034668974578380585e-03,0.000000000000000000e+00,2.093580067157745361e-01,1.714097720650897827e-06,1.632429666642565280e-05
3.195682466030120850e-01,1.630957573652267456e-01,1.357885479927062988e+00,1.278089894185541198e-05,2.998241223394870758e-03,3.017177106812596321e-03,0.000000000000000000e+00,2.068395614624023438e-01,1.714097720650897827e-06,1.612760024727322161e-05
3.277181088924407959e-01,1.783609688282012939e-01,1.320193409919738770e+00,1.397714822815032676e-05,3.054764820262789726e-03,3.075182670727372169e-03,0.000000000000000000e+00,1.733780950307846069e-01,1.714097720650897827e-06,1.351464379695244133e-05
3.310918509960174561e-01,1.875607222318649292e-01,1.304120659828186035e+00,1.469808103138348088e-05,3.008845960721373558e-03,3.029788378626108170e-03,0.000000000000000000e+00,1.311906725168228149e-01,1.714097720650897827e-06,1.022376090986654162e-05
3.279538154602050781e-01,1.878998428583145142e-01,1.299916267395019531e+00,1.472465737606398761e-05,2.871469594538211823e-03,2.894194098189473152e-03,0.000000000000000000e+00,1.006234586238861084e-01,1.714097720650897827e-06,7.847254892112687230e-06
3.213157057762145996e-01,1.813905984163284302e-01,1.304233431816101074e+00,1.421456272510113195e-05,2.840749919414520264e-03,2.864616224542260170e-03,0.000000000000000000e+00,9.501759707927703857e-02,1.714097720650897827e-06,7.428202479786705226e-06
3.135569095611572266e-01,1.706540882587432861e-01,1.315213680267333984e+00,1.337320463790092617e-05,2.834146143868565559e-03,2.858305117115378380e-03,0.000000000000000000e+00,1.138144284486770630e-01,1.714097720650897827e-06,8.919607353163883090e-06
3.036568760871887207e-01,1.567848920822143555e-01,1.329659938812255859e+00,1.228635392180876806e-05,2.759418450295925140e-03,2.783712930977344513e-03,0.000000000000000000e+00,1.390599012374877930e-01,1.714097720650897827e-06,1.091068043024279177e-05
2.895736694335937500e-01,1.403026431798934937e-01,1.344547271728515625e+00,1.099473229260183871e-05,2.626008586958050728e-03,2.649543108418583870e-03,0.000000000000000000e+00,1.481627970933914185e-01,1.714097720650897827e-06,1.162848275271244347e-05
2.732354998588562012e-01,1.238185614347457886e-01,1.359809637069702148e+00,9.702966053737327456e-06,2.489688806235790253e-03,2.512203529477119446e-03,0.000000000000000000e+00,1.343597173690795898e-01,1.714097720650897827e-06,1.054295535141136497e-05
2.601245343685150146e-01,1.114676594734191895e-01,1.377319693565368652e+00,8.735094525036402047e-06,2.372382907196879387e-03,2.394164679571986198e-03,0.000000000000000000e+00,1.092490479350090027e-01,1.714097720650897827e-06,8.565031748730689287e-06
2.544730305671691895e-01,1.059360727667808533e-01,1.396283149719238281e+00,8.301615707750897855e-06,2.283319598063826561e-03,2.304575638845562935e-03,0.000000000000000000e+00,8.908644318580627441e-02,1.714097720650897827e-06,6.971388756937813014e-06
2.554026544094085693e-01,1.059699058532714844e-01,1.411143660545349121e+00,8.304266884806565940e-06,2.219744957983493805e-03,2.240576082840561867e-03,0.000000000000000000e+00,8.318383991718292236e-02,1.714097720650897827e-06,6.494434273918159306e-06
2.580448389053344727e-01,1.074650809168815613e-01,1.414573431015014648e+00,8.421436177741270512e-06,2.176225651055574417e-03,2.196604385972023010e-03,0.000000000000000000e+00,9.122411906719207764e-02,1.714097720650897827e-06,7.111347258614841849e-06
2.582719326019287109e-01,1.072206497192382812e-01,1.403570413589477539e+00,8.402281309827230871e-06,2.154375659301877022e-03,2.174088964238762856e-03,0.000000000000000000e+00,1.069424673914909363e-01,1.714097720650897827e-06,8.332470315508544445e-06
2.553925216197967529e-01,1.049750298261642456e-01,1.381114125251770020e+00,8.226304089475888759e-06,2.153294626623392105e-03,2.172415377572178841e-03,0.000000000000000000e+00,1.230607032775878906e-01,1.714097720650897827e-06,9.588015018380247056e-06
2.510610222816467285e-01,1.023091301321983337e-01,1.353237390518188477e+00,8.017393156478647143e-06,2.170658670365810394e-03,2.189103513956069946e-03,0.000000000000000000e+00,1.342816501855850220e-01,1.714097720650897827e-06,1.046296802087454125e-05
2.471341490745544434e-01,1.007475033402442932e-01,1.325788855552673340e+00,7.895015187386889011e-06,2.184415934607386589e-03,2.202491275966167450e-03,0.000000000000000000e+00,1.380774080753326416e-01,1.714097720650897827e-06,1.075906766345724463e-05
2.443454265594482422e-01,1.006774455308914185e-01,1.302346110343933105e+00,7.889526386861689389e-06,2.183153759688138962e-03,2.201104769483208656e-03,0.000000000000000000e+00,1.343336105346679688e-01,1.714097720650897827e-06,1.046706802299013361e-05
2.423644661903381348e-01,1.014850363135337830e-01,1.284177899360656738e+00,7.952813575684558600e-06,2.166558755561709404e-03,2.184577984735369682e-03,0.000000000000000000e+00,1.246162503957748413e-01,1.714097720650897827e-06,9.709348887554369867e-06
2.404941618442535400e-01,1.022279560565948486e-01,1.271120190620422363e+00,8.011031241039745510e-06,2.133059082552790642e-03,2.151334658265113831e-03,0.000000000000000000e+00,1.115419268608093262e-01,1.714097720650897827e-06,8.690585673321038485e-06
2.382212728261947632e-01,1.021524146199226379e-01,1.262558341026306152e+00,8.005112249520607293e-06,2.084443811327219009e-03,2.103181555867195129e-03,0.000000000000000000e+00,9.813022613525390625e-02,1.714097720650897827e-06,7.646990525245200843e-06
2.354652881622314453e-01,1.009492129087448120e-01,1.257902741432189941e+00,7.910824024293106049e-06,2.037126570940017700e-03,2.056543482467532158e-03,0.000000000000000000e+00,8.725796639919281006e-02,1.714097720650897827e-06,6.803513770137215033e-06
2.325775921344757080e-01,9.881047159433364868e-02,1.256646752357482910e+00,7.743223250145092607e-06,2.002664143219590187e-03,2.022561617195606232e-03,0.000000000000000000e+00,8.102443814277648926e-02,1.714097720650897827e-06,6.324107744148932397e-06
2.300738543272018433e-01,9.620633721351623535e-02,1.258428692817687988e+00,7.539150828961282969e-06,1.983611611649394035e-03,2.003823406994342804e-03,0.000000000000000000e+00,8.024652302265167236e-02,1.714097720650897827e-06,6.272120572248240933e-06
2.284000217914581299e-01,9.371647983789443970e-02,1.262745618820190430e+00,7.344035111600533128e-06,1.979377120733261108e-03,1.999768894165754318e-03,0.000000000000000000e+00,8.408962190151214600e-02,1.714097720650897827e-06,6.581411980732809752e-06
2.276704162359237671e-01,9.176903963088989258e-02,1.268785238265991211e+00,7.191425083874491975e-06,1.984050730243325233e-03,2.004575217142701149e-03,0.000000000000000000e+00,9.022843837738037109e-02,1.714097720650897827e-06,7.069037565088365227e-06
2.276056855916976929e-01,9.050801396369934082e-02,1.275331735610961914e+00,7.092605756042758003e-06,1.991581637412309647e-03,2.012243261560797691e-03,0.000000000000000000e+00,9.564492106437683105e-02,1.714097720650897827e-06,7.497875230910722166e-06
2.276465147733688354e-01,8.976513892412185669e-02,1.280910968780517578e+00,7.034390819171676412e-06,1.996101345866918564e-03,2.016846789047122002e-03,0.000000000000000000e+00,9.790289402008056641e-02,1.714097720650897827e-06,7.676677341805770993e-06
2.272214144468307495e-01,8.919961005449295044e-02,1.284094929695129395e+00,6.990072961343685165e-06,1.993144862353801727e-03,2.013891469687223434e-03,0.000000000000000000e+00,9.612309932708740234e-02,1.714097720650897827e-06,7.536530119978124276e-06
2.260186076164245605e-01,8.850613236427307129e-02,1.283927321434020996e+00,6.935728833923349157e-06,1.980593428015708923e-03,2.001268789172172546e-03,0.000000000000000000e+00,9.119726717472076416e-02,1.714097720650897827e-06,7.147636097215581685e-06
2.240966707468032837e-01,8.757954835891723633e-02,1.280091166496276855e+00,6.863117505417903885e-06,1.959733897820115089e-03,1.980258384719491005e-03,0.000000000000000000e+00,8.507998287677764893e-02,1.714097720650897827e-06,6.663718522759154439e-06
