# total,frequency_equation,frequency_initial,physical_equation,physical_initial
1.302002258300781250e+02,5.472878456115722656e+00,7.547143697738647461e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.160003738403320312e+02,4.543717861175537109e+00,7.056319713592529297e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.213076553344726562e+02,4.834247589111328125e+00,7.296518087387084961e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.197900619506835938e+02,4.665774345397949219e+00,7.313231825828552246e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.123035354614257812e+02,3.812602043151855469e+00,7.417750954627990723e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.111978149414062500e+02,4.127369403839111328e+00,6.992412805557250977e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.107728347778320312e+02,3.733965873718261719e+00,7.343317270278930664e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.063057403564453125e+02,3.478189945220947266e+00,7.152384519577026367e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000959777832031250e+02,3.069568157196044922e+00,6.940029859542846680e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.031424789428710938e+02,3.198580265045166016e+00,7.115668058395385742e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.738387298583984375e+01,2.753186702728271484e+00,6.985200643539428711e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.678720855712890625e+01,2.655442237854003906e+00,7.023278474807739258e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.257775115966796875e+01,2.521745920181274414e+00,6.736029386520385742e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.170336914062500000e+01,2.288725137710571289e+00,6.881611347198486328e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.901214599609375000e+01,2.006995201110839844e+00,6.894218921661376953e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.859353637695312500e+01,2.072157859802246094e+00,6.787195801734924316e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.711413574218750000e+01,1.905176997184753418e+00,6.806235909461975098e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.317542266845703125e+01,1.574873924255371094e+00,6.742668151855468750e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.988502502441406250e+01,1.394304275512695312e+00,6.594198346138000488e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.805100250244140625e+01,1.289451360702514648e+00,6.515648365020751953e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.746327209472656250e+01,1.053231477737426758e+00,6.693096160888671875e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.590066528320312500e+01,8.466304540634155273e-01,6.743435859680175781e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.437464904785156250e+01,7.965225577354431152e-01,6.640942096710205078e-01,0.000000000000000000e+00,0.000000000000000000e+00
