# total,frequency_equation,frequency_initial,physical_equation,physical_initial
9.259664154052734375e+01,1.712520360946655273e+00,7.547143697738647461e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.496862030029296875e+01,1.441958665847778320e+00,7.054903507232666016e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.794078063964843750e+01,1.500849008560180664e+00,7.293229103088378906e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.767997741699218750e+01,1.459760785102844238e+00,7.308236360549926758e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.633294677734375000e+01,1.222727537155151367e+00,7.410566806793212891e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.268398284912109375e+01,1.283891916275024414e+00,6.984506249427795410e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.505864715576171875e+01,1.174501895904541016e+00,7.331362962722778320e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.253495788574218750e+01,1.113902568817138672e+00,7.139593362808227539e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.912592315673828125e+01,9.863651990890502930e-01,6.926226615905761719e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.106975555419921875e+01,1.008928537368774414e+00,7.098046541213989258e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.851431274414062500e+01,8.848989605903625488e-01,6.966532468795776367e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.849169921875000000e+01,8.473892211914062500e-01,7.001780867576599121e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.519438171386718750e+01,8.050982952117919922e-01,6.714339256286621094e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.583205413818359375e+01,7.280166149139404297e-01,6.855188608169555664e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.520256805419921875e+01,6.564741730690002441e-01,6.863782405853271484e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.416073608398437500e+01,6.599469184875488281e-01,6.756126284599304199e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.388416290283203125e+01,6.166839003562927246e-01,6.771732568740844727e-01,0.000000000000000000e+00,0.000000000000000000e+00
