# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
2.025590658187866211e+00,1.810361504554748535e+00,1.968524336814880371e+00,1.390240358887240291e-04,8.656132966279983521e-03,8.688424713909626007e-03,0.000000000000000000e+00,1.837674379348754883e-01,1.702789404589566402e-06,1.430741849617334083e-05
1.984209537506103516e+00,1.770822882652282715e+00,1.934816241264343262e+00,1.359877060167491436e-04,8.578089997172355652e-03,8.610394783318042755e-03,0.000000000000000000e+00,1.990505307912826538e-01,1.702789404589566402e-06,1.548023283248767257e-05
1.943240880966186523e+00,1.731580138206481934e+00,1.901474118232727051e+00,1.329741353401914239e-04,8.501137606799602509e-03,8.533442392945289612e-03,0.000000000000000000e+00,2.151331603527069092e-01,1.702789404589566402e-06,1.671447353146504611e-05
1.899810552597045898e+00,1.690041065216064453e+00,1.866431117057800293e+00,1.297842100029811263e-04,8.419020101428031921e-03,8.451329544186592102e-03,0.000000000000000000e+00,2.312641292810440063e-01,1.702789404589566402e-06,1.795247953850775957e-05
1.850772380828857422e+00,1.643378973007202148e+00,1.827450275421142578e+00,1.262008590856567025e-04,8.324688300490379333e-03,8.357014507055282593e-03,0.000000000000000000e+00,2.464846223592758179e-01,1.702789404589566402e-06,1.912066181830596179e-05
1.792143106460571289e+00,1.588035225868225098e+00,1.781773328781127930e+00,1.219508121721446514e-04,8.208900690078735352e-03,8.241263218224048615e-03,0.000000000000000000e+00,2.593053579330444336e-01,1.702789404589566402e-06,2.010470416280440986e-05
1.718904733657836914e+00,1.519552350044250488e+00,1.726048946380615234e+00,1.166917718364857137e-04,8.059302344918251038e-03,8.091694675385951996e-03,0.000000000000000000e+00,2.674744129180908203e-01,1.702789404589566402e-06,2.073176437988877296e-05
1.624609231948852539e+00,1.432252287864685059e+00,1.656219720840454102e+00,1.099876972148194909e-04,7.858468219637870789e-03,7.890867069363594055e-03,0.000000000000000000e+00,2.673492133617401123e-01,1.702789404589566402e-06,2.072226197924464941e-05
1.500925540924072266e+00,1.318822622299194336e+00,1.567482233047485352e+00,1.012770298984833062e-04,7.580581586807966232e-03,7.612993940711021423e-03,0.000000000000000000e+00,2.535475790500640869e-01,1.702789404589566402e-06,1.966314266610424966e-05
1.338706254959106445e+00,1.171147465705871582e+00,1.455549955368041992e+00,8.993653318611904979e-05,7.189322728663682938e-03,7.221765816211700439e-03,0.000000000000000000e+00,2.200374305248260498e-01,1.702789404589566402e-06,1.709159914753399789e-05
1.129845380783081055e+00,9.814456701278686523e-01,1.318923115730285645e+00,7.536866905866190791e-05,6.631386931985616684e-03,6.663827225565910339e-03,0.000000000000000000e+00,1.650734394788742065e-01,1.702789404589566402e-06,1.287431496166391298e-05
8.736981153488159180e-01,7.460952401161193848e-01,1.165125846862792969e+00,5.729528129450045526e-05,5.833094939589500427e-03,5.865479819476604462e-03,0.000000000000000000e+00,1.109027937054634094e-01,1.702789404589566402e-06,8.720928235561586916e-06
5.954497456550598145e-01,4.767718017101287842e-01,1.026264667510986328e+00,3.661298615043051541e-05,4.750207066535949707e-03,4.782751202583312988e-03,0.000000000000000000e+00,1.605145782232284546e-01,1.702789404589566402e-06,1.254159724339842796e-05
3.688740730285644531e-01,2.288558185100555420e-01,9.838215708732604980e-01,1.757464451657142490e-05,3.360304515808820724e-03,3.393314313143491745e-03,0.000000000000000000e+00,4.163610339164733887e-01,1.702789404589566402e-06,3.220046710339374840e-05
