# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
2.106326580047607422e+00,1.746182441711425781e+00,3.404942512512207031e+00,1.361554604955017567e-04,8.732737042009830475e-03,8.740521036088466644e-03,0.000000000000000000e+00,1.964989751577377319e-01,1.769411824170674663e-06,1.529148721601814032e-05
2.068258523941040039e+00,1.709647536277770996e+00,3.372759342193603516e+00,1.333067193627357483e-04,8.662020787596702576e-03,8.669811300933361053e-03,0.000000000000000000e+00,2.133510112762451172e-01,1.769411824170674663e-06,1.660680572967976332e-05
2.030501365661621094e+00,1.673342585563659668e+00,3.340905904769897461e+00,1.304759207414463162e-04,8.591962978243827820e-03,8.599768392741680145e-03,0.000000000000000000e+00,2.306818366050720215e-01,1.769411824170674663e-06,1.795939897419884801e-05
1.990613341331481934e+00,1.635087490081787109e+00,3.307587623596191406e+00,1.274930255021899939e-04,8.517248556017875671e-03,8.525061421096324921e-03,0.000000000000000000e+00,2.476699054241180420e-01,1.769411824170674663e-06,1.928513665916398168e-05
1.945923089981079102e+00,1.592511296272277832e+00,3.270874261856079102e+00,1.241732243215665221e-04,8.432024158537387848e-03,8.439845405519008636e-03,0.000000000000000000e+00,2.632441520690917969e-01,1.769411824170674663e-06,2.050043622148223221e-05
1.892918586730957031e+00,1.542518734931945801e+00,3.228301048278808594e+00,1.202751591335982084e-04,8.328312076628208160e-03,8.336147293448448181e-03,0.000000000000000000e+00,2.756977677345275879e-01,1.769411824170674663e-06,2.147208033420611173e-05
1.827128291130065918e+00,1.481198549270629883e+00,3.176850795745849609e+00,1.154938145191408694e-04,8.195484057068824768e-03,8.203322067856788635e-03,0.000000000000000000e+00,2.824463844299316406e-01,1.769411824170674663e-06,2.199836853833403438e-05
1.742819786071777344e+00,1.403579950332641602e+00,3.112885236740112305e+00,1.094416511477902532e-04,8.018711581826210022e-03,8.026557974517345428e-03,0.000000000000000000e+00,2.795125544071197510e-01,1.769411824170674663e-06,2.176884663640521467e-05
1.632754445075988770e+00,1.303414344787597656e+00,3.032225847244262695e+00,1.016314199659973383e-04,7.776689715683460236e-03,7.784534245729446411e-03,0.000000000000000000e+00,2.611743509769439697e-01,1.769411824170674663e-06,2.033682540059089661e-05
1.488698840141296387e+00,1.173479676246643066e+00,2.930930376052856445e+00,9.149999095825478435e-05,7.439166307449340820e-03,7.447012700140476227e-03,0.000000000000000000e+00,2.212606519460678101e-01,1.769411824170674663e-06,1.722021625027991831e-05
1.303198218345642090e+00,1.006573796272277832e+00,2.807254314422607422e+00,7.848580571589991450e-05,6.961761973798274994e-03,6.969592534005641937e-03,0.000000000000000000e+00,1.589891314506530762e-01,1.769411824170674663e-06,1.235654417541809380e-05
1.074953079223632812e+00,7.982669472694396973e-01,2.666551828384399414e+00,6.224344542715698481e-05,6.281522102653980255e-03,6.289319135248661041e-03,0.000000000000000000e+00,1.003099381923675537e-01,1.769411824170674663e-06,7.766780072415713221e-06
8.225623369216918945e-01,5.539906620979309082e-01,2.532545328140258789e+00,4.319643630878999829e-05,5.352886393666267395e-03,5.360313691198825836e-03,0.000000000000000000e+00,1.531713604927062988e-01,1.769411824170674663e-06,1.186565077659906819e-05
5.984058380126953125e-01,3.095708191394805908e-01,2.468049287796020508e+00,2.413823312963359058e-05,4.078757483512163162e-03,4.085890017449855804e-03,0.000000000000000000e+00,4.203011989593505859e-01,1.769411824170674663e-06,3.266983549110591412e-05
4.889009892940521240e-01,1.654844135046005249e-01,2.587029933929443359e+00,1.290335239900741726e-05,2.881937427446246147e-03,2.888534218072891235e-03,0.000000000000000000e+00,6.471357345581054688e-01,1.769411824170674663e-06,5.034418427385389805e-05
5.881405472755432129e-01,2.437034398317337036e-01,2.949361562728881836e+00,1.900234201457351446e-05,3.234537784010171890e-03,3.242063336074352264e-03,0.000000000000000000e+00,4.950095713138580322e-01,1.769411824170674663e-06,3.849043423542752862e-05
6.393905878067016602e-01,3.132629394531250000e-01,3.065736532211303711e+00,2.442612094455398619e-05,3.657054854556918144e-03,3.665093565359711647e-03,0.000000000000000000e+00,1.955403983592987061e-01,1.769411824170674663e-06,1.516254087619017810e-05
5.574969649314880371e-01,2.584007382392883301e-01,2.890463590621948242e+00,2.014833808061666787e-05,3.577635856345295906e-03,3.586059901863336563e-03,0.000000000000000000e+00,1.004986763000488281e-01,1.769411824170674663e-06,7.773252036713529378e-06
