# total,frequency_equation,frequency_initial,physical_equation,physical_initial
2.928938598632812500e+02,2.174224090576171875e+01,7.547143697738647461e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.491274414062500000e+02,1.785530281066894531e+01,7.057440876960754395e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.672945861816406250e+02,1.943016433715820312e+01,7.299295663833618164e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.591726074218750000e+02,1.859996795654296875e+01,7.317291498184204102e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.226754913330078125e+02,1.484402275085449219e+01,7.423526048660278320e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.358475341796875000e+02,1.658637619018554688e+01,6.998376846313476562e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.222228851318359375e+02,1.486966037750244141e+01,7.352627515792846680e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.074792175292968750e+02,1.358627700805664062e+01,7.161644697189331055e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.892393798828125000e+02,1.197444152832031250e+01,6.949497461318969727e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.985032958984375000e+02,1.272248935699462891e+01,7.127840518951416016e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.777662658691406250e+02,1.077917480468750000e+01,6.997451186180114746e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.752515563964843750e+02,1.048801803588867188e+01,7.037137746810913086e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.676007537841796875e+02,1.001061725616455078e+01,6.749458312988281250e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.601441040039062500e+02,9.116294860839843750e+00,6.898114681243896484e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.469621276855468750e+02,7.782981395721435547e+00,6.913232803344726562e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.507875366210937500e+02,8.272821426391601562e+00,6.805932521820068359e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.430526428222656250e+02,7.478369712829589844e+00,6.826895475387573242e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.294630737304687500e+02,6.180948257446289062e+00,6.765358448028564453e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.201792831420898438e+02,5.400263786315917969e+00,6.617664098739624023e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.153084869384765625e+02,4.992622852325439453e+00,6.538226604461669922e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.072809066772460938e+02,4.006006717681884766e+00,6.722084283828735352e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.931028747558593750e+01,3.153310298919677734e+00,6.777718067169189453e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.732333374023437500e+01,3.057073593139648438e+00,6.675260066986083984e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.964520263671875000e+01,2.387857198715209961e+00,6.576663255691528320e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.341429901123046875e+01,1.855253338813781738e+00,6.486176252365112305e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.905472564697265625e+01,1.395504593849182129e+00,6.509967446327209473e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.335124206542968750e+01,1.044121742248535156e+00,6.291002631187438965e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.152487182617187500e+01,6.959341168403625488e-01,6.456552743911743164e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.747769927978515625e+01,4.657631814479827881e-01,6.282006502151489258e-01,0.000000000000000000e+00,0.000000000000000000e+00
