# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+01,2.714345654908356664e-06,nan
2.000000000000000000e+01,2.666261252670665272e-06,nan
3.000000000000000000e+01,2.639271059479142423e-06,nan
4.000000000000000000e+01,2.603858334282449505e-06,nan
5.000000000000000000e+01,2.589055917212590430e-06,nan
6.000000000000000000e+01,2.575547327410276921e-06,nan
7.000000000000000000e+01,2.556197699732365436e-06,nan
8.000000000000000000e+01,2.536201748171151849e-06,nan
9.000000000000000000e+01,2.518695794151426526e-06,nan
1.000000000000000000e+02,2.485973567445398658e-06,nan
1.100000000000000000e+02,2.448839076407693938e-06,nan
1.200000000000000000e+02,2.423288911757026654e-06,nan
1.300000000000000000e+02,2.402341820584297238e-06,nan
1.400000000000000000e+02,2.477198862038676452e-06,nan
1.500000000000000000e+02,2.355509543860989652e-06,nan
1.600000000000000000e+02,2.309905497099862259e-06,nan
1.700000000000000000e+02,2.273864076585141447e-06,nan
1.800000000000000000e+02,2.239963933448052558e-06,nan
1.900000000000000000e+02,2.181819127144990489e-06,nan
2.000000000000000000e+02,2.114151854470947001e-06,nan
2.100000000000000000e+02,2.248635517787533900e-06,nan
2.200000000000000000e+02,1.982800455380129279e-06,nan
2.300000000000000000e+02,1.908750611789855611e-06,nan
2.400000000000000000e+02,1.843602611018013704e-06,nan
2.500000000000000000e+02,1.790823041858402576e-06,nan
2.600000000000000000e+02,1.725163400578821893e-06,nan
2.700000000000000000e+02,1.689892961564964935e-06,nan
2.800000000000000000e+02,1.637871946513769217e-06,nan
2.900000000000000000e+02,1.588265618579498550e-06,nan
3.000000000000000000e+02,1.548730047318258585e-06,nan
3.100000000000000000e+02,1.516603276741079753e-06,nan
3.200000000000000000e+02,1.496074212070652720e-06,nan
3.300000000000000000e+02,1.477253533721523127e-06,nan
3.400000000000000000e+02,1.454218150342967419e-06,nan
3.500000000000000000e+02,1.432750046603814553e-06,nan
3.600000000000000000e+02,1.414949636568962887e-06,nan
3.700000000000000000e+02,1.400142600971321372e-06,nan
3.800000000000000000e+02,1.379192219985725387e-06,nan
3.900000000000000000e+02,1.360518311344094400e-06,nan
4.000000000000000000e+02,1.335376850875036325e-06,nan
4.100000000000000000e+02,1.306911649123776442e-06,nan
4.200000000000000000e+02,1.283352695224948548e-06,nan
4.300000000000000000e+02,1.249880988041240926e-06,nan
4.400000000000000000e+02,1.224749247796808049e-06,nan
4.500000000000000000e+02,1.196851208362659236e-06,nan
4.600000000000000000e+02,1.151210383909528900e-06,nan
4.700000000000000000e+02,1.114702627091901377e-06,nan
4.800000000000000000e+02,1.085199521355662000e-06,nan
4.900000000000000000e+02,1.061067351315614360e-06,nan
5.000000000000000000e+02,1.037064585318603349e-06,nan
5.100000000000000000e+02,1.014914147390300059e-06,nan
5.200000000000000000e+02,9.984601661017222796e-07,nan
5.300000000000000000e+02,9.722337495077226777e-07,nan
5.400000000000000000e+02,9.462679457783451653e-07,nan
5.500000000000000000e+02,9.319681453234807122e-07,nan
5.600000000000000000e+02,9.186648171066735813e-07,nan
5.700000000000000000e+02,9.045225013437629968e-07,nan
5.800000000000000000e+02,8.938104834044224845e-07,nan
5.900000000000000000e+02,8.795659311999770580e-07,nan
6.000000000000000000e+02,8.679520497878456808e-07,nan
6.100000000000000000e+02,8.624239207222217374e-07,nan
6.200000000000000000e+02,8.512667761806369526e-07,nan
6.300000000000000000e+02,8.425674451473241788e-07,nan
6.400000000000000000e+02,8.354055758275080734e-07,nan
6.500000000000000000e+02,8.275525402723360457e-07,nan
6.600000000000000000e+02,8.207964725670535699e-07,nan
6.700000000000000000e+02,8.144712460023129097e-07,nan
6.800000000000000000e+02,8.035355101299046510e-07,nan
6.900000000000000000e+02,7.907548713603773649e-07,nan
7.000000000000000000e+02,7.805743642563811591e-07,nan
7.100000000000000000e+02,7.726795274720643647e-07,nan
7.200000000000000000e+02,7.636016228218522883e-07,nan
7.300000000000000000e+02,7.553312606489726022e-07,nan
7.400000000000000000e+02,7.442001006552345643e-07,nan
7.500000000000000000e+02,7.374310548868834303e-07,nan
7.600000000000000000e+02,7.284069347690547147e-07,nan
7.700000000000000000e+02,7.175009066884285858e-07,nan
7.800000000000000000e+02,7.080442934181974124e-07,nan
7.900000000000000000e+02,7.001247404048172029e-07,nan
8.000000000000000000e+02,6.929429190449809539e-07,nan
8.100000000000000000e+02,6.801990650728839682e-07,nan
8.200000000000000000e+02,6.724542558345092402e-07,nan
8.300000000000000000e+02,6.631594828832021449e-07,nan
8.400000000000000000e+02,6.563339240983623313e-07,nan
8.500000000000000000e+02,6.488147263894461503e-07,nan
8.600000000000000000e+02,6.402846111086546443e-07,nan
8.700000000000000000e+02,6.326467243411570962e-07,nan
8.800000000000000000e+02,6.248727650870478101e-07,nan
8.900000000000000000e+02,6.133840990685257566e-07,nan
9.000000000000000000e+02,6.058322732371834718e-07,nan
9.100000000000000000e+02,6.008510844424108654e-07,nan
9.200000000000000000e+02,5.925353008251477149e-07,nan
9.300000000000000000e+02,5.863216721024855360e-07,nan
9.400000000000000000e+02,5.813190817605118355e-07,nan
9.500000000000000000e+02,5.746504641024330340e-07,nan
9.600000000000000000e+02,5.693236921899824665e-07,nan
9.700000000000000000e+02,5.631364956570905633e-07,nan
9.800000000000000000e+02,5.578268300610034203e-07,nan
9.900000000000000000e+02,5.529601025955344085e-07,nan
1.000000000000000000e+03,5.442773733932426694e-07,nan
1.010000000000000000e+03,5.402246543440014648e-07,nan
1.020000000000000000e+03,5.361344435073078785e-07,nan
