# step,train_normalized_mse,val_normalized_mse
1.000000000000000000e+00,7.811001539230346680e-01,5.167501218616962211e-01
1.000000000000000000e+02,2.254936611279845238e-03,5.223447340540587902e-03
2.000000000000000000e+02,8.253618143498897552e-04,8.951519732363522486e-04
3.000000000000000000e+02,7.170360186137259007e-05,8.415072807110846043e-05
4.000000000000000000e+02,2.919172402471303940e-05,4.569606389850378172e-05
5.000000000000000000e+02,5.166716800886206329e-05,3.304006568214390291e-05
6.000000000000000000e+02,4.653766154660843313e-05,2.633582735143136098e-05
7.000000000000000000e+02,2.348314956179820001e-05,2.053994030575267903e-05
8.000000000000000000e+02,2.146710721717681736e-05,1.652458249736810239e-05
9.000000000000000000e+02,1.733671524561941624e-05,1.527281392554868944e-05
1.000000000000000000e+03,5.255356882116757333e-06,1.640624998344719643e-05
1.100000000000000000e+03,1.670012534304987639e-05,9.401580609846859493e-06
1.200000000000000000e+03,7.214272955025080591e-06,7.278491875695181249e-06
1.300000000000000000e+03,5.554538802243769169e-06,6.258091070776572790e-06
1.400000000000000000e+03,5.083448741061147302e-06,5.533369039767421443e-06
1.500000000000000000e+03,2.165391606467892416e-06,4.885333873971831392e-06
1.600000000000000000e+03,3.433818164921831340e-06,4.464296580408699811e-06
1.700000000000000000e+03,2.745442088780691847e-06,4.258688022673595697e-06
1.800000000000000000e+03,4.133906259085051715e-06,4.444717774276796263e-06
1.900000000000000000e+03,2.574188329163007438e-06,4.193179029243765060e-06
2.000000000000000000e+03,4.404759238241240382e-06,3.847865082207136195e-06
2.100000000000000000e+03,3.826259671768639237e-06,3.608355609685531987e-06
2.200000000000000000e+03,5.605722890322795138e-06,3.534796178428223357e-06
2.300000000000000000e+03,3.525065494613954797e-06,3.528902107063913633e-06
2.400000000000000000e+03,1.791713089005497750e-06,3.492412952255108309e-06
2.500000000000000000e+03,4.398330474941758439e-06,3.509233010845491663e-06
2.510000000000000000e+03,3.630134841614562902e-06,nan
2.520000000000000000e+03,3.364769085578700469e-06,nan
2.530000000000000000e+03,3.198582746222200512e-06,nan
2.540000000000000000e+03,3.152201230705031776e-06,nan
2.550000000000000000e+03,3.117826224752207054e-06,nan
2.560000000000000000e+03,3.092743639854234061e-06,nan
2.570000000000000000e+03,3.065922527412112686e-06,nan
2.580000000000000000e+03,3.040579201751825167e-06,nan
2.590000000000000000e+03,3.004512961979344254e-06,nan
2.600000000000000000e+03,2.954450266656749591e-06,nan
2.610000000000000000e+03,2.891924935966017074e-06,nan
2.620000000000000000e+03,2.842251490164926508e-06,nan
2.630000000000000000e+03,2.755381757424402167e-06,nan
2.633000000000000000e+03,nan,2.509964497221517292e-06
