step,phase_0_adam_1_lbfgs,weighted_pde_residual
1.000000000000000000e+00,0.000000000000000000e+00,1.085658301829836692e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070968377499290414e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.051895385366098168e+00
4.000000000000000000e+00,0.000000000000000000e+00,1.027652956032399700e+00
5.000000000000000000e+00,0.000000000000000000e+00,9.977362149740424124e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.615051705713670849e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.182670724333238388e-01
8.000000000000000000e+00,0.000000000000000000e+00,8.674256857569204726e-01
9.000000000000000000e+00,0.000000000000000000e+00,8.086356250116180089e-01
1.000000000000000000e+01,0.000000000000000000e+00,7.419171333670060431e-01
1.100000000000000000e+01,0.000000000000000000e+00,6.678671272461444985e-01
1.200000000000000000e+01,0.000000000000000000e+00,5.879471074945845643e-01
1.300000000000000000e+01,0.000000000000000000e+00,5.047868949267809713e-01
1.400000000000000000e+01,0.000000000000000000e+00,4.224250331408268555e-01
1.500000000000000000e+01,0.000000000000000000e+00,3.463885827724797473e-01
1.600000000000000000e+01,0.000000000000000000e+00,2.834120408349901643e-01
1.700000000000000000e+01,0.000000000000000000e+00,2.404777231551255556e-01
1.800000000000000000e+01,0.000000000000000000e+00,2.227062525679549820e-01
1.900000000000000000e+01,0.000000000000000000e+00,2.298679935173463806e-01
2.000000000000000000e+01,0.000000000000000000e+00,2.534669048089237542e-01
2.100000000000000000e+01,0.000000000000000000e+00,2.791758064772174031e-01
2.200000000000000000e+01,0.000000000000000000e+00,2.946561299181134075e-01
2.300000000000000000e+01,0.000000000000000000e+00,2.947992234039094051e-01
2.400000000000000000e+01,0.000000000000000000e+00,2.810343162086983426e-01
2.500000000000000000e+01,0.000000000000000000e+00,2.582779390105897077e-01
2.600000000000000000e+01,0.000000000000000000e+00,2.323488913510708409e-01
2.700000000000000000e+01,0.000000000000000000e+00,2.083552262324924464e-01
2.800000000000000000e+01,0.000000000000000000e+00,1.898255113329219146e-01
2.900000000000000000e+01,0.000000000000000000e+00,1.783846283047535453e-01
3.000000000000000000e+01,0.000000000000000000e+00,1.738672849646401564e-01
3.100000000000000000e+01,0.000000000000000000e+00,1.747635468265851533e-01
3.200000000000000000e+01,0.000000000000000000e+00,1.788438176658630474e-01
3.300000000000000000e+01,0.000000000000000000e+00,1.837889828117131308e-01
3.400000000000000000e+01,0.000000000000000000e+00,1.876807837742494323e-01
3.500000000000000000e+01,0.000000000000000000e+00,1.892764756699397699e-01
3.600000000000000000e+01,0.000000000000000000e+00,1.880759496197615954e-01
3.700000000000000000e+01,0.000000000000000000e+00,1.842427937624359080e-01
3.800000000000000000e+01,0.000000000000000000e+00,1.784446805977022155e-01
3.900000000000000000e+01,0.000000000000000000e+00,1.716566156863875980e-01
4.000000000000000000e+01,0.000000000000000000e+00,1.649500367905994969e-01
4.100000000000000000e+01,0.000000000000000000e+00,1.592834482320305556e-01
4.200000000000000000e+01,0.000000000000000000e+00,1.553158834443170155e-01
4.300000000000000000e+01,0.000000000000000000e+00,1.532757953055874367e-01
4.400000000000000000e+01,0.000000000000000000e+00,1.529236912593384123e-01
4.500000000000000000e+01,0.000000000000000000e+00,1.536347574595248455e-01
4.600000000000000000e+01,0.000000000000000000e+00,1.545926950493779484e-01
4.700000000000000000e+01,0.000000000000000000e+00,1.550401180562566705e-01
4.800000000000000000e+01,0.000000000000000000e+00,1.545017130503959224e-01
4.900000000000000000e+01,0.000000000000000000e+00,1.529054725805447656e-01
5.000000000000000000e+01,0.000000000000000000e+00,1.505691725172761120e-01
5.100000000000000000e+01,0.000000000000000000e+00,1.480675209008663895e-01
5.200000000000000000e+01,0.000000000000000000e+00,1.460278042532007214e-01
5.300000000000000000e+01,0.000000000000000000e+00,1.449142214629705050e-01
5.400000000000000000e+01,0.000000000000000000e+00,1.448623350713598434e-01
5.500000000000000000e+01,0.000000000000000000e+00,1.456227568309388098e-01
5.600000000000000000e+01,0.000000000000000000e+00,1.466573017915152044e-01
5.700000000000000000e+01,0.000000000000000000e+00,1.473736273352880266e-01
5.800000000000000000e+01,0.000000000000000000e+00,1.473909574178731419e-01
5.900000000000000000e+01,0.000000000000000000e+00,1.466872248917121535e-01
6.000000000000000000e+01,0.000000000000000000e+00,1.455554274844622908e-01
6.100000000000000000e+01,0.000000000000000000e+00,1.444212991015456637e-01
6.200000000000000000e+01,0.000000000000000000e+00,1.436364452611125497e-01
6.300000000000000000e+01,0.000000000000000000e+00,1.433442189230053065e-01
6.400000000000000000e+01,0.000000000000000000e+00,1.434603609260753365e-01
6.500000000000000000e+01,0.000000000000000000e+00,1.437527977217042952e-01
6.600000000000000000e+01,0.000000000000000000e+00,1.439667404298358988e-01
6.700000000000000000e+01,0.000000000000000000e+00,1.439336492146314483e-01
6.800000000000000000e+01,0.000000000000000000e+00,1.436229778878648777e-01
6.900000000000000000e+01,0.000000000000000000e+00,1.431282181574782264e-01
7.000000000000000000e+01,0.000000000000000000e+00,1.426062711668875382e-01
7.100000000000000000e+01,0.000000000000000000e+00,1.422025441476540419e-01
7.200000000000000000e+01,0.000000000000000000e+00,1.419931416221953957e-01
7.300000000000000000e+01,0.000000000000000000e+00,1.419640604806962358e-01
7.400000000000000000e+01,0.000000000000000000e+00,1.420304986315352180e-01
7.500000000000000000e+01,0.000000000000000000e+00,1.420829958462170306e-01
7.600000000000000000e+01,0.000000000000000000e+00,1.420372971985443822e-01
7.700000000000000000e+01,0.000000000000000000e+00,1.418658431897283356e-01
7.800000000000000000e+01,0.000000000000000000e+00,1.415998082079795717e-01
7.900000000000000000e+01,0.000000000000000000e+00,1.413053698146360670e-01
8.000000000000000000e+01,0.000000000000000000e+00,1.410487335292973099e-01
8.100000000000000000e+01,0.000000000000000000e+00,1.408669867812673837e-01
8.200000000000000000e+01,0.000000000000000000e+00,1.407565348071034561e-01
8.300000000000000000e+01,0.000000000000000000e+00,1.406813956556576817e-01
8.400000000000000000e+01,0.000000000000000000e+00,1.405946700113375747e-01
