# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
1.987509369850158691e+00,1.779294252395629883e+00,1.799901366233825684e+00,1.532825845060870051e-04,9.147251956164836884e-03,9.156734682619571686e-03,0.000000000000000000e+00,2.822490930557250977e-01,1.702631720945646521e-06,2.462013253534678370e-05
1.944248557090759277e+00,1.737367153167724609e+00,1.768929958343505859e+00,1.496706681791692972e-04,9.052076376974582672e-03,9.059557691216468811e-03,0.000000000000000000e+00,2.998842895030975342e-01,1.702631720945646521e-06,2.614295044622849673e-05
1.901242733001708984e+00,1.695577144622802734e+00,1.738204598426818848e+00,1.460705534555017948e-04,8.958389982581138611e-03,8.963943459093570709e-03,0.000000000000000000e+00,3.184506595134735107e-01,1.702631720945646521e-06,2.774592758214566857e-05
1.855491518974304199e+00,1.651175022125244141e+00,1.705879211425781250e+00,1.422453933628275990e-04,8.858948014676570892e-03,8.862479589879512787e-03,0.000000000000000000e+00,3.372854590415954590e-01,1.702631720945646521e-06,2.937181488960050046e-05
1.803621530532836914e+00,1.601079225540161133e+00,1.669903874397277832e+00,1.379297173116356134e-04,8.745121769607067108e-03,8.746567182242870331e-03,0.000000000000000000e+00,3.555191755294799805e-01,1.702631720945646521e-06,3.094557541771791875e-05
1.741415500640869141e+00,1.541460514068603516e+00,1.627798557281494141e+00,1.327937061432749033e-04,8.605964481830596924e-03,8.605336770415306091e-03,0.000000000000000000e+00,3.717516064643859863e-01,1.702631720945646521e-06,3.234634277760051191e-05
1.663446307182312012e+00,1.467430353164672852e+00,1.576511502265930176e+00,1.264161546714603901e-04,8.426509797573089600e-03,8.423617109656333923e-03,0.000000000000000000e+00,3.836476504802703857e-01,1.702631720945646521e-06,3.337256566737778485e-05
1.562747478485107422e+00,1.372775673866271973e+00,1.512396812438964844e+00,1.182618361781351268e-04,8.185647428035736084e-03,8.180271834135055542e-03,0.000000000000000000e+00,3.873214125633239746e-01,1.702631720945646521e-06,3.368878606124781072e-05
1.430698156356811523e+00,1.249853253364562988e+00,1.431505203247070312e+00,1.076723274309188128e-04,7.852756418287754059e-03,7.844847626984119415e-03,0.000000000000000000e+00,3.769428431987762451e-01,1.702631720945646521e-06,3.279159136582165956e-05
1.258091568946838379e+00,1.090484857559204102e+00,1.330914616584777832e+00,9.394306107424199581e-05,7.384791038930416107e-03,7.374138571321964264e-03,0.000000000000000000e+00,3.451527655124664307e-01,1.702631720945646521e-06,3.004497557412832975e-05
1.037893891334533691e+00,8.880165219306945801e-01,1.211782217025756836e+00,7.650082989130169153e-05,6.718823686242103577e-03,6.705544888973236084e-03,0.000000000000000000e+00,2.869913578033447266e-01,1.702631720945646521e-06,2.501801100152079016e-05
7.726619839668273926e-01,6.421207189559936523e-01,1.086549639701843262e+00,5.531739589059725404e-05,5.769337061792612076e-03,5.754550453275442123e-03,0.000000000000000000e+00,2.188630700111389160e-01,1.702631720945646521e-06,1.911731851578224450e-05
4.995613694190979004e-01,3.753105998039245605e-01,9.985170960426330566e-01,3.233224924770183861e-05,4.514346830546855927e-03,4.494318272918462753e-03,0.000000000000000000e+00,2.439903169870376587e-01,1.702631720945646521e-06,2.122589648934081197e-05
3.326079845428466797e-01,1.761122494935989380e-01,1.054658651351928711e+00,1.517171403975225985e-05,3.026945283636450768e-03,3.002454061061143875e-03,0.000000000000000000e+00,5.102987289428710938e-01,1.702631720945646521e-06,4.410096516949124634e-05
4.220572710037231445e-01,2.218422740697860718e-01,1.375776171684265137e+00,1.911126310005784035e-05,3.237670520320534706e-03,3.175584366545081139e-03,0.000000000000000000e+00,6.263737082481384277e-01,1.702631720945646521e-06,5.408288416219875216e-05
5.408793091773986816e-01,3.458603024482727051e-01,1.573938131332397461e+00,2.979516830237116665e-05,3.879081225022673607e-03,3.807554021477699280e-03,0.000000000000000000e+00,3.762518763542175293e-01,1.702631720945646521e-06,3.257655771449208260e-05
4.613187611103057861e-01,2.963026762008666992e-01,1.436131358146667480e+00,2.552587648096960038e-05,3.741873661056160927e-03,3.664917079731822014e-03,0.000000000000000000e+00,2.140291482210159302e-01,1.702631720945646521e-06,1.865675949375145137e-05
3.543218076229095459e-01,2.100320160388946533e-01,1.216430664062500000e+00,1.809383684303611517e-05,3.373096231371164322e-03,3.305122489109635353e-03,0.000000000000000000e+00,2.264671474695205688e-01,1.702631720945646521e-06,1.976945350179448724e-05
3.045241236686706543e-01,1.710172891616821289e-01,1.054349422454833984e+00,1.473279371566604823e-05,3.131021512672305107e-03,3.081183414906263351e-03,0.000000000000000000e+00,2.807187438011169434e-01,1.702631720945646521e-06,2.446466533001512289e-05
3.020032942295074463e-01,1.751114279031753540e-01,9.672948718070983887e-01,1.508549485151888803e-05,3.085544798523187637e-03,3.049029503017663956e-03,0.000000000000000000e+00,3.016237020492553711e-01,1.702631720945646521e-06,2.627158937684725970e-05
3.153097033500671387e-01,1.940598487854003906e-01,9.292739629745483398e-01,1.671786230872385204e-05,3.182983957231044769e-03,3.153525525704026222e-03,0.000000000000000000e+00,2.832245528697967529e-01,1.702631720945646521e-06,2.468181810399983078e-05
3.257642090320587158e-01,2.096135914325714111e-01,9.166234135627746582e-01,1.805778811103664339e-05,3.313671331852674484e-03,3.283884609118103981e-03,0.000000000000000000e+00,2.448828220367431641e-01,1.702631720945646521e-06,2.136681723641231656e-05
3.286769390106201172e-01,2.160344719886779785e-01,9.170299768447875977e-01,1.861093369370792061e-05,3.359410446137189865e-03,3.324798075482249260e-03,0.000000000000000000e+00,2.093946933746337891e-01,1.702631720945646521e-06,1.829308348533231765e-05
3.260685503482818604e-01,2.141093313694000244e-01,9.253444671630859375e-01,1.844508369686082006e-05,3.373293904587626457e-03,3.336631925776600838e-03,0.000000000000000000e+00,1.942476779222488403e-01,1.702631720945646521e-06,1.696979779808316380e-05
3.201365768909454346e-01,2.059740126132965088e-01,9.380877017974853516e-01,1.774424345057923347e-05,3.409609897062182426e-03,3.367856610566377640e-03,0.000000000000000000e+00,2.035378217697143555e-01,1.702631720945646521e-06,1.775342389009892941e-05
3.096530139446258545e-01,1.923305690288543701e-01,9.507024288177490234e-01,1.656889071455225348e-05,3.346723970025777817e-03,3.305513644590973854e-03,0.000000000000000000e+00,2.225220203399658203e-01,1.702631720945646521e-06,1.937789056682959199e-05
2.926772832870483398e-01,1.737612336874008179e-01,9.597265124320983887e-01,1.496917866461444646e-05,3.184996778145432472e-03,3.144907066598534584e-03,0.000000000000000000e+00,2.294339686632156372e-01,1.702631720945646521e-06,1.997074286919087172e-05
2.717772126197814941e-01,1.534109860658645630e-01,9.662324190139770508e-01,1.321604577242396772e-05,2.997084287926554680e-03,2.955573610961437225e-03,0.000000000000000000e+00,2.174299806356430054e-01,1.702631720945646521e-06,1.894213710329495370e-05
2.539689540863037109e-01,1.367780268192291260e-01,9.742500782012939453e-01,1.178314960270654410e-05,2.823712537065148354e-03,2.777723828330636024e-03,0.000000000000000000e+00,1.976589858531951904e-01,1.702631720945646521e-06,1.725009678921196610e-05
2.452220320701599121e-01,1.280891299247741699e-01,9.861342310905456543e-01,1.103462091123219579e-05,2.688261214643716812e-03,2.635740442201495171e-03,0.000000000000000000e+00,1.851947307586669922e-01,1.702631720945646521e-06,1.619007343833800405e-05
2.462300658226013184e-01,1.275440454483032227e-01,9.997886419296264648e-01,1.098766006180085242e-05,2.597192302346229553e-03,2.541598863899707794e-03,0.000000000000000000e+00,1.870715916156768799e-01,1.702631720945646521e-06,1.636521119507960975e-05
2.522966563701629639e-01,1.313477307558059692e-01,1.009331703186035156e+00,1.131534099840791896e-05,2.546755829825997353e-03,2.492098836228251457e-03,0.000000000000000000e+00,2.001574933528900146e-01,1.702631720945646521e-06,1.750361298036295921e-05
2.570803761482238770e-01,1.345751136541366577e-01,1.009069919586181641e+00,1.159337443823460490e-05,2.530010649934411049e-03,2.478773240000009537e-03,0.000000000000000000e+00,2.159827351570129395e-01,1.702631720945646521e-06,1.887449616333469748e-05
2.569053471088409424e-01,1.344985812902450562e-01,9.975506067276000977e-01,1.158678060164675117e-05,2.536839572712779045e-03,2.492015948519110680e-03,0.000000000000000000e+00,2.265171408653259277e-01,1.702631720945646521e-06,1.978569707716815174e-05
2.518941760063171387e-01,1.313834339380264282e-01,9.775187373161315918e-01,1.131841599999461323e-05,2.534311031922698021e-03,2.493715845048427582e-03,0.000000000000000000e+00,2.275888323783874512e-01,1.702631720945646521e-06,1.987796349567361176e-05
