# total,frequency_equation,frequency_initial,physical_equation,physical_initial
8.394459533691406250e+01,8.473162651062011719e-01,7.547143697738647461e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.775015258789062500e+01,7.212229967117309570e-01,7.053792476654052734e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.033152008056640625e+01,7.424669861793518066e-01,7.290685176849365234e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.029078674316406250e+01,7.246791124343872070e-01,7.304400205612182617e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.021946716308593750e+01,6.168434023857116699e-01,7.405103445053100586e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.615977478027343750e+01,6.373959779739379883e-01,6.978580951690673828e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.910352325439453125e+01,5.879169106483459473e-01,7.322435975074768066e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.693120574951171875e+01,5.630260109901428223e-01,7.130094766616821289e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.416692352294921875e+01,5.006316900253295898e-01,6.916060447692871094e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.592504119873046875e+01,5.072534084320068359e-01,7.085250616073608398e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.403536987304687500e+01,4.506087899208068848e-01,6.952928304672241211e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.416859436035156250e+01,4.307368099689483643e-01,6.986122727394104004e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.109555053710937500e+01,4.109307825565338135e-01,6.698624491691589355e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.207399749755859375e+01,3.711745738983154297e-01,6.836224794387817383e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.182614135742187500e+01,3.404113650321960449e-01,6.842203140258789062e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.071921539306640625e+01,3.379061818122863770e-01,6.734015941619873047e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.066065979003906250e+01,3.186076879501342773e-01,6.747458577156066895e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.947499084472656250e+01,2.694226503372192383e-01,6.678075790405273438e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.773159790039062500e+01,2.467125952243804932e-01,6.526446938514709473e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.678444671630859375e+01,2.305449545383453369e-01,6.447899341583251953e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.806752014160156250e+01,1.973370909690856934e-01,6.609414815902709961e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.814393615722656250e+01,1.676640361547470093e-01,6.646729111671447754e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.697395324707031250e+01,1.552814245223999023e-01,6.542114019393920898e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.570431518554687500e+01,1.340796351432800293e-01,6.436352133750915527e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.461774444580078125e+01,1.159414350986480713e-01,6.345832943916320801e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.450904083251953125e+01,9.784653037786483765e-02,6.353057622909545898e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.217590332031250000e+01,8.447381108999252319e-02,6.133116483688354492e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.340946197509765625e+01,6.969618052244186401e-02,6.271250247955322266e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.159076690673828125e+01,5.958326160907745361e-02,6.099493503570556641e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.077915191650390625e+01,4.967178776860237122e-02,6.028243303298950195e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.167769241333007812e+01,4.043486714363098145e-02,6.127334237098693848e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000457000732421875e+01,3.518055751919746399e-02,5.965276360511779785e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.040506744384765625e+01,3.228097409009933472e-02,6.008225679397583008e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.164836120605468750e+01,3.192093223333358765e-02,6.132915019989013672e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.717130279541015625e+01,3.638717532157897949e-02,5.680742859840393066e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.622273254394531250e+01,4.069912433624267578e-02,5.581574440002441406e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.686203765869140625e+01,5.251226201653480530e-02,5.633691549301147461e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.666813659667968750e+01,6.568424403667449951e-02,5.601129531860351562e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.736064147949218750e+01,8.704715967178344727e-02,5.649017095565795898e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.561813735961914062e+01,1.019604131579399109e-01,5.459853410720825195e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.328026199340820312e+01,1.296650171279907227e-01,5.198361277580261230e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.449391174316406250e+01,1.718847155570983887e-01,5.277506709098815918e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.515662002563476562e+01,2.058621942996978760e-01,5.309799909591674805e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.460723114013671875e+01,2.398720383644104004e-01,5.220851302146911621e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.204328155517578125e+01,2.864747941493988037e-01,4.917853474617004395e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.240507125854492188e+01,3.350067436695098877e-01,4.905500411987304688e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.424055480957031250e+01,3.289517164230346680e-01,5.095103979110717773e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.312663269042968750e+01,3.894571661949157715e-01,4.923205971717834473e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.027607727050781250e+01,4.044843912124633789e-01,4.623123407363891602e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.167953491210937500e+01,4.391068220138549805e-01,4.728846848011016846e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.922175216674804688e+01,3.798130154609680176e-01,4.542362093925476074e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.113465118408203125e+01,4.331542849540710449e-01,4.680310785770416260e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.076535415649414062e+01,4.004056453704833984e-01,4.676129817962646484e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.010196685791015625e+01,4.270966053009033203e-01,4.583100080490112305e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.674302291870117188e+01,3.900446891784667969e-01,4.284257590770721436e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.775116348266601562e+01,3.991353809833526611e-01,4.375981092453002930e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.875457763671875000e+01,3.622058331966400146e-01,4.513251781463623047e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.833281326293945312e+01,3.445903956890106201e-01,4.488691091537475586e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.610073471069335938e+01,3.166714608669281006e-01,4.293402135372161865e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.555157852172851562e+01,3.463215827941894531e-01,4.208836257457733154e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.499721527099609375e+01,3.134070038795471191e-01,4.186314344406127930e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.449266815185546875e+01,2.580994963645935059e-01,4.191167354583740234e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.265053176879882812e+01,3.281373679637908936e-01,3.936915993690490723e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.256716537475585938e+01,2.903213798999786377e-01,3.966395258903503418e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.195136260986328125e+01,2.836492657661437988e-01,3.911486864089965820e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.122850799560546875e+01,3.338273167610168457e-01,3.789023756980895996e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.035383987426757812e+01,2.829711437225341797e-01,3.752412796020507812e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.982183456420898438e+01,3.088770806789398193e-01,3.673306405544281006e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.837019729614257812e+01,3.361040651798248291e-01,3.500915467739105225e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.713660049438476562e+01,3.101063966751098633e-01,3.403553962707519531e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.707356262207031250e+01,3.409799635410308838e-01,3.366376161575317383e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.604893112182617188e+01,3.512427806854248047e-01,3.253650367259979248e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.490513992309570312e+01,4.261972308158874512e-01,3.064316809177398682e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.387839508056640625e+01,4.038342237472534180e-01,2.984005212783813477e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.417314910888671875e+01,4.818746745586395264e-01,2.935440242290496826e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.311948776245117188e+01,4.832797050476074219e-01,2.828668951988220215e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.174775886535644531e+01,5.251427292823791504e-01,2.649633288383483887e-01,0.000000000000000000e+00,0.000000000000000000e+00
