# total,u2_scaled,g_scaled,u2_mse,u2_mae,total_mae,u2_initial,u2_boundary,total_initial_mse,total_boundary_mse
2.239125013351440430e+00,2.066465854644775391e+00,1.668712496757507324e+00,9.588434477336704731e-05,6.723102182149887085e-03,6.884125526994466782e-03,0.000000000000000000e+00,5.787931382656097412e-02,1.701867518022481818e-06,2.498580215615220368e-06
2.191352605819702148e+00,2.021321058273315430e+00,1.630085706710815430e+00,9.378961112815886736e-05,6.658517755568027496e-03,6.825810763984918594e-03,0.000000000000000000e+00,7.023146748542785645e-02,1.701867518022481818e-06,3.056123432543245144e-06
2.144433736801147461e+00,1.976876378059387207e+00,1.592104792594909668e+00,9.172737190965563059e-05,6.595451850444078445e-03,6.768795661628246307e-03,0.000000000000000000e+00,8.346743881702423096e-02,1.701867518022481818e-06,3.655053205875447020e-06
2.095219850540161133e+00,1.930255413055419922e+00,1.552288889884948730e+00,8.956415695138275623e-05,6.529266014695167542e-03,6.708590313792228699e-03,0.000000000000000000e+00,9.735587239265441895e-02,1.701867518022481818e-06,4.284750048100249842e-06
2.040345191955566406e+00,1.878402590751647949e+00,1.508013486862182617e+00,8.715817966731265187e-05,6.454806774854660034e-03,6.640157196670770645e-03,0.000000000000000000e+00,1.114126071333885193e-01,1.701867518022481818e-06,4.923058440908789635e-06
1.975665569305419922e+00,1.817581415176391602e+00,1.456096291542053223e+00,8.433606126345694065e-05,6.365399342030286789e-03,6.556943058967590332e-03,0.000000000000000000e+00,1.247453168034553528e-01,1.701867518022481818e-06,5.529136615223251283e-06
1.896038174629211426e+00,1.743180871009826660e+00,1.392657995223999023e+00,8.088386675808578730e-05,6.252291612327098846e-03,6.450355518609285355e-03,0.000000000000000000e+00,1.359154433012008667e-01,1.701867518022481818e-06,6.037114417267730460e-06
1.794770479202270508e+00,1.649231314659118652e+00,1.312762975692749023e+00,7.652458589291200042e-05,6.103304214775562286e-03,6.308480631560087204e-03,0.000000000000000000e+00,1.426294147968292236e-01,1.701867518022481818e-06,6.342004780890420079e-06
1.663387417793273926e+00,1.528220057487487793e+00,1.210364937782287598e+00,7.090964209055528045e-05,5.901222582906484604e-03,6.114399526268243790e-03,0.000000000000000000e+00,1.413086503744125366e-01,1.701867518022481818e-06,6.280184152274159715e-06
1.492052197456359863e+00,1.371478557586669922e+00,1.078850388526916504e+00,6.363682041410356760e-05,5.622050259262323380e-03,5.844501778483390808e-03,0.000000000000000000e+00,1.268861293792724609e-01,1.701867518022481818e-06,5.620659067062661052e-06
1.270843982696533203e+00,1.170228838920593262e+00,9.123455286026000977e-01,5.429879456642083824e-05,5.231884308159351349e-03,5.465283058583736420e-03,0.000000000000000000e+00,9.380570054054260254e-02,1.701867518022481818e-06,4.112800525035709143e-06
9.927821159362792969e-01,9.176608324050903320e-01,7.084783315658569336e-01,4.257960608811117709e-05,4.679941572248935699e-03,4.926418419927358627e-03,0.000000000000000000e+00,4.273503273725509644e-02,1.701867518022481818e-06,1.800231984816491604e-06
6.633965373039245605e-01,6.149666905403137207e-01,4.761134982109069824e-01,2.853454861906357110e-05,3.889332059770822525e-03,4.151273984462022781e-03,0.000000000000000000e+00,8.184779435396194458e-03,1.701867518022481818e-06,3.054759929455030942e-07
3.299194574356079102e-01,2.922850549221038818e-01,2.587941288948059082e-01,1.356207121716579422e-05,2.800565212965011597e-03,3.082122886553406715e-03,0.000000000000000000e+00,1.175500154495239258e-01,1.701867518022481818e-06,5.551751200982835144e-06
1.207213401794433594e-01,6.133188679814338684e-02,1.827689558267593384e-01,2.845808921847492456e-06,1.364053692668676376e-03,1.666298252530395985e-03,0.000000000000000000e+00,4.111255705356597900e-01,1.701867518022481818e-06,1.933832572831306607e-05
2.344639003276824951e-01,1.426780670881271362e-01,4.472687244415283203e-01,6.620284693781286478e-06,1.572509878315031528e-03,1.861009281128644943e-03,0.000000000000000000e+00,4.705895781517028809e-01,1.701867518022481818e-06,2.212287654401734471e-05
4.010043442249298096e-01,3.153840601444244385e-01,6.809616684913635254e-01,1.463387070543831214e-05,2.436154056340456009e-03,2.707073464989662170e-03,0.000000000000000000e+00,1.752411425113677979e-01,1.701867518022481818e-06,8.267137673101387918e-06
3.121061027050018311e-01,2.535978853702545166e-01,5.674442648887634277e-01,1.176697969640372321e-05,2.361253369599580765e-03,2.653197618201375008e-03,0.000000000000000000e+00,1.763797923922538757e-02,1.701867518022481818e-06,7.752175861241994426e-07
1.706926673650741577e-01,1.319632679224014282e-01,3.598030507564544678e-01,6.123116691014729440e-06,1.893876935355365276e-03,2.228261204436421394e-03,0.000000000000000000e+00,2.749100700020790100e-02,1.701867518022481818e-06,1.108950982597889379e-06
9.666286408901214600e-02,6.868507713079452515e-02,2.155844271183013916e-01,3.186998128512641415e-06,1.507184584625065327e-03,1.872064545750617981e-03,0.000000000000000000e+00,6.419342756271362305e-02,1.701867518022481818e-06,2.754518391157034785e-06
8.810488134622573853e-02,6.591992080211639404e-02,1.527469605207443237e-01,3.058694346691481769e-06,1.488596084527671337e-03,1.862437115050852299e-03,0.000000000000000000e+00,6.910262256860733032e-02,1.701867518022481818e-06,2.976397354359505698e-06
1.058599129319190979e-01,8.755616843700408936e-02,1.367048770189285278e-01,4.062620064360089600e-06,1.682853093370795250e-03,2.038848819211125374e-03,0.000000000000000000e+00,4.633256047964096069e-02,1.701867518022481818e-06,1.949918669197359122e-06
1.240112185478210449e-01,1.082791984081268311e-01,1.383755207061767578e-01,5.024171059631044045e-06,1.739220228046178818e-03,2.071869093924760818e-03,0.000000000000000000e+00,1.894463598728179932e-02,1.701867518022481818e-06,7.332637892432103399e-07
1.345121264457702637e-01,1.191388294100761414e-01,1.445133090019226074e-01,5.528060228243703023e-06,1.703116227872669697e-03,1.998279243707656860e-03,0.000000000000000000e+00,9.219681844115257263e-03,1.701867518022481818e-06,3.503338348309625871e-07
1.379174143075942993e-01,1.200221404433250427e-01,1.511924117803573608e-01,5.569045697484398261e-06,1.746251829899847507e-03,1.983722206205129623e-03,0.000000000000000000e+00,2.776024863123893738e-02,1.701867518022481818e-06,1.281146182918746490e-06
1.339279264211654663e-01,1.121106222271919250e-01,1.560936719179153442e-01,5.201950443733949214e-06,1.786547829397022724e-03,1.979077234864234924e-03,0.000000000000000000e+00,6.207945197820663452e-02,1.701867518022481818e-06,2.929569745901972055e-06
1.190175339579582214e-01,9.529729932546615601e-02,1.559462696313858032e-01,4.421809535415377468e-06,1.719971070997416973e-03,1.886052894406020641e-03,0.000000000000000000e+00,8.125610649585723877e-02,1.701867518022481818e-06,3.844746970571577549e-06
9.338738769292831421e-02,7.148833572864532471e-02,1.505402475595474243e-01,3.317070195407723077e-06,1.513968338258564472e-03,1.672332757152616978e-03,0.000000000000000000e+00,6.845030188560485840e-02,1.701867518022481818e-06,3.240183332309243269e-06
6.508282572031021118e-02,4.686834663152694702e-02,1.450383663177490234e-01,2.174698693124810234e-06,1.204369706101715565e-03,1.366789918392896652e-03,0.000000000000000000e+00,3.710641711950302124e-02,1.701867518022481818e-06,1.746709585859207436e-06
4.511045664548873901e-02,2.928013727068901062e-02,1.463122963905334473e-01,1.358602958134724759e-06,9.476296836510300636e-04,1.119110966101288795e-03,0.000000000000000000e+00,1.199088618159294128e-02,1.701867518022481818e-06,5.263166826807719190e-07
3.978670388460159302e-02,2.334401942789554596e-02,1.573320478200912476e-01,1.083166125681600533e-06,8.165379986166954041e-04,1.008508494123816490e-03,0.000000000000000000e+00,7.094827480614185333e-03,1.701867518022481818e-06,2.406789576525625307e-07
4.715649411082267761e-02,2.764815464615821838e-02,1.742548644542694092e-01,1.282878656638786197e-06,8.140279096551239491e-04,1.038465998135507107e-03,0.000000000000000000e+00,2.082850411534309387e-02,1.701867518022481818e-06,8.254780823335750028e-07
5.870999023318290710e-02,3.560249507427215576e-02,1.882519870996475220e-01,1.651961156312609091e-06,8.698396850377321243e-04,1.146629103459417820e-03,0.000000000000000000e+00,4.282295703887939453e-02,1.701867518022481818e-06,1.805217721084773075e-06
6.574042886495590210e-02,4.034230858087539673e-02,1.916688978672027588e-01,1.871889480753452517e-06,9.337039664387702942e-04,1.263736747205257416e-03,0.000000000000000000e+00,6.231228262186050415e-02,1.701867518022481818e-06,2.682729927983018570e-06
6.483922153711318970e-02,3.929337114095687866e-02,1.830512732267379761e-01,1.823218667595938314e-06,9.868725901469588280e-04,1.337585737928748131e-03,0.000000000000000000e+00,7.240718603134155273e-02,1.701867518022481818e-06,3.138758529530605301e-06
5.792270600795745850e-02,3.419277444481849670e-02,1.663364768028259277e-01,1.586549956300586928e-06,9.894086979329586029e-04,1.348707708530128002e-03,0.000000000000000000e+00,7.096282392740249634e-02,1.701867518022481818e-06,3.072979325224878266e-06
4.905494302511215210e-02,2.836355939507484436e-02,1.474325656890869141e-01,1.316073394264094532e-06,9.523215703666210175e-04,1.319014467298984528e-03,0.000000000000000000e+00,5.948124825954437256e-02,1.701867518022481818e-06,2.553842023189645261e-06
4.131386801600456238e-02,2.405006252229213715e-02,1.306757032871246338e-01,1.115926579586812295e-06,8.995314128696918488e-04,1.271302578970789909e-03,0.000000000000000000e+00,4.196233674883842468e-02,1.701867518022481818e-06,1.765397200870211236e-06
3.607448562979698181e-02,2.188508026301860809e-02,1.181115731596946716e-01,1.015471070786588825e-06,8.437325595878064632e-04,1.217721612192690372e-03,0.000000000000000000e+00,2.378246560692787170e-02,1.701867518022481818e-06,9.551558832754381001e-07
3.347477689385414124e-02,2.143494598567485809e-02,1.100093275308609009e-01,9.945847523340489715e-07,7.855801959522068501e-04,1.158940955065190792e-03,0.000000000000000000e+00,1.038898807018995285e-02,1.701867518022481818e-06,3.735000007054622984e-07
3.311557322740554810e-02,2.193740941584110260e-02,1.058473289012908936e-01,1.017899307953484822e-06,7.400639588013291359e-04,1.104691531509160995e-03,0.000000000000000000e+00,5.934329703450202942e-03,1.701867518022481818e-06,2.100189817610953469e-07
3.439624980092048645e-02,2.275684103369712830e-02,1.047066152095794678e-01,1.055920847647939809e-06,7.285505998879671097e-04,1.074486528523266315e-03,0.000000000000000000e+00,1.168747898191213608e-02,1.701867518022481818e-06,5.196744155000487808e-07
3.640907257795333862e-02,2.335270307958126068e-02,1.056284978985786438e-01,1.083568918147648219e-06,7.353142718784511089e-04,1.056940876878798008e-03,0.000000000000000000e+00,2.493521198630332947e-02,1.701867518022481818e-06,1.172015231531986501e-06
3.801769763231277466e-02,2.330791018903255463e-02,1.075838431715965271e-01,1.081490722754097078e-06,7.474829326383769512e-04,1.039948198013007641e-03,0.000000000000000000e+00,3.951404616236686707e-02,1.701867518022481818e-06,1.876535861811134964e-06
