# total,frequency_equation,frequency_initial,physical_equation,physical_initial
7.832726287841796875e+01,2.855829000473022461e-01,7.547143697738647461e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.298581695556640625e+01,2.457139641046524048e-01,7.052868008613586426e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.539753723144531250e+01,2.515609860420227051e-01,7.288192510604858398e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.547302246093750000e+01,2.465472519397735596e-01,7.300755381584167480e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.612657165527343750e+01,2.129393815994262695e-01,7.399717569351196289e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.191647338867187500e+01,2.181810587644577026e-01,6.973466873168945312e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.516419982910156250e+01,2.030770331621170044e-01,7.313343286514282227e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.317823028564453125e+01,1.963286995887756348e-01,7.121494412422180176e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.083412933349609375e+01,1.757797747850418091e-01,6.907633543014526367e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.251123046875000000e+01,1.775341629981994629e-01,7.073588371276855469e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.101483917236328125e+01,1.598367542028427124e-01,6.941647529602050781e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.126348114013671875e+01,1.533035188913345337e-01,6.973044276237487793e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.834231567382812500e+01,1.474778801202774048e-01,6.686754226684570312e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.954147338867187500e+01,1.338302195072174072e-01,6.820316910743713379e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.947856140136718750e+01,1.248821243643760681e-01,6.822973489761352539e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.839691162109375000e+01,1.237400844693183899e-01,6.715950965881347656e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.845452117919921875e+01,1.181977540254592896e-01,6.727254390716552734e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.757081604003906250e+01,1.018293648958206177e-01,6.655251979827880859e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.598157501220703125e+01,9.504292905330657959e-02,6.503114700317382812e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.517390441894531250e+01,9.012217074632644653e-02,6.427268385887145996e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.658312225341796875e+01,7.911816984415054321e-02,6.579194068908691406e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.677702331542968750e+01,6.919895112514495850e-02,6.608503460884094238e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.570527648925781250e+01,6.520860642194747925e-02,6.505318880081176758e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.456104278564453125e+01,5.845252797007560730e-02,6.397652029991149902e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.362569046020507812e+01,5.245048925280570984e-02,6.310118436813354492e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.357384490966796875e+01,4.610373079776763916e-02,6.311280727386474609e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.134230422973632812e+01,4.172330349683761597e-02,6.092507243156433105e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.258089065551757812e+01,3.624781593680381775e-02,6.221841573715209961e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.085030746459960938e+01,3.268600627779960632e-02,6.052345037460327148e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.008723068237304688e+01,2.876475080847740173e-02,5.979958176612854004e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.089960861206054688e+01,2.452719211578369141e-02,6.065433621406555176e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.925710296630859375e+01,2.157942019402980804e-02,5.904130935668945312e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.956668472290039062e+01,1.936216093599796295e-02,5.937306284904479980e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.062017822265625000e+01,1.744327694177627563e-02,6.044574379920959473e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.630710220336914062e+01,1.699451357126235962e-02,5.613715648651123047e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.532983016967773438e+01,1.544661074876785278e-02,5.517536401748657227e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.566489028930664062e+01,1.574570685625076294e-02,5.550743341445922852e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.531479644775390625e+01,1.662070676684379578e-02,5.514858961105346680e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.564695358276367188e+01,1.884695515036582947e-02,5.545848608016967773e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.384358978271484375e+01,2.006920427083969116e-02,5.364289879798889160e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.148835372924804688e+01,2.307506836950778961e-02,5.125760436058044434e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.199363708496093750e+01,2.983126789331436157e-02,5.169532299041748047e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.219539642333984375e+01,3.479840606451034546e-02,5.184741020202636719e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.131083679199218750e+01,3.866507112979888916e-02,5.092418789863586426e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.864672851562500000e+01,4.879380762577056885e-02,4.815879166126251221e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.831835556030273438e+01,5.944348126649856567e-02,4.772391915321350098e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.980961990356445312e+01,6.106873974204063416e-02,4.919893145561218262e-01,0.000000000000000000e+00,0.000000000000000000e+00
