# total,frequency_equation,frequency_initial,physical_equation,physical_initial
2.386808929443359375e+02,2.174224090576171875e+01,2.125848233699798584e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.984338378906250000e+02,1.785510635375976562e+01,1.988278627395629883e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.176022949218750000e+02,1.942984199523925781e+01,2.330388724803924561e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.070876159667968750e+02,1.859878730773925781e+01,2.109975367784500122e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.703185119628906250e+02,1.484405136108398438e+01,2.187798470258712769e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.863546295166015625e+02,1.658253097534179688e+01,2.052930891513824463e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.722645263671875000e+02,1.486487960815429688e+01,2.361572980880737305e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.561110382080078125e+02,1.358231163024902344e+01,2.028791308403015137e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.391447906494140625e+02,1.196963977813720703e+01,1.944839805364608765e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.497801666259765625e+02,1.271936988830566406e+01,2.258647680282592773e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.280767517089843750e+02,1.077741241455078125e+01,2.030263245105743408e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.241280975341796875e+02,1.048223114013671875e+01,1.930578202009201050e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.190054931640625000e+02,1.000123786926269531e+01,1.899311542510986328e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.113161773681640625e+02,9.110391616821289062e+00,2.021226137876510620e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.895967102050781250e+01,7.772915363311767578e+00,2.123051881790161133e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.020133972167968750e+02,8.263669013977050781e+00,1.937670856714248657e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.515126037597656250e+01,7.469520568847656250e+00,2.045605480670928955e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.257487487792968750e+01,6.165618419647216797e+00,2.091869413852691650e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.404543304443359375e+01,5.384036540985107422e+00,2.020506411790847778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.807568359375000000e+01,4.974990367889404297e+00,1.832578182220458984e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.120912551879882812e+01,3.988343954086303711e+00,2.132568657398223877e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.514419555664062500e+01,3.134468555450439453e+00,2.379951179027557373e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.211871337890625000e+01,3.036805152893066406e+00,2.175066173076629639e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.537170410156250000e+01,2.365190982818603516e+00,2.171979248523712158e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.858835601806640625e+01,1.830978631973266602e+00,2.027857303619384766e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.505912017822265625e+01,1.376422286033630371e+00,2.129489481449127197e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.090549278259277344e+01,1.023071527481079102e+00,2.067477852106094360e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.596564674377441406e+01,6.813890933990478516e-01,1.915175616741180420e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.625999450683593750e+01,4.521420001983642578e-01,2.173857539892196655e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.199549102783203125e+01,2.337991744279861450e-01,1.965749859809875488e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.451277351379394531e+01,9.046491235494613647e-02,2.360812425613403320e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.069270706176757812e+01,4.942694306373596191e-02,2.019843757152557373e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.408835220336914062e+01,7.687269896268844604e-02,2.331962585449218750e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.729601097106933594e+01,1.241013035178184509e-01,2.605499923229217529e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.462605667114257812e+01,2.235032767057418823e-01,2.239102423191070557e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.323788452148437500e+01,2.362083792686462402e-01,2.087580114603042603e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.606696319580078125e+01,2.421246170997619629e-01,2.364571690559387207e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.370512771606445312e+01,2.147957682609558105e-01,2.155717164278030396e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.547842979431152344e+01,1.606586426496505737e-01,2.387184351682662964e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.346330642700195312e+01,1.004398167133331299e-01,2.245890796184539795e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.211477470397949219e+01,6.817537546157836914e-02,2.143302112817764282e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.220220947265625000e+01,4.582517966628074646e-02,2.174395769834518433e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.395610618591308594e+01,3.500878810882568359e-02,2.360601872205734253e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.361959457397460938e+01,4.278738051652908325e-02,2.319172024726867676e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.130391502380371094e+01,6.813067942857742310e-02,2.062260806560516357e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.189260673522949219e+01,9.198985993862152100e-02,2.097270786762237549e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.523329544067382812e+01,9.403409063816070557e-02,2.429295629262924194e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.410581779479980469e+01,9.951711446046829224e-02,2.311064749956130981e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.028802680969238281e+01,8.863803744316101074e-02,1.940164566040039062e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.229361724853515625e+01,7.709628343582153320e-02,2.152265310287475586e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.047109603881835938e+01,5.437464639544487000e-02,1.992734819650650024e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.284508514404296875e+01,4.337695240974426270e-02,2.241131663322448730e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.318752098083496094e+01,4.379571229219436646e-02,2.274956256151199341e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.235476875305175781e+01,4.509711265563964844e-02,2.190379798412322998e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.872028160095214844e+01,4.887569695711135864e-02,1.823152601718902588e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.099345397949218750e+01,5.524160340428352356e-02,2.044103741645812988e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.357849693298339844e+01,4.738237336277961731e-02,2.310467362403869629e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.344549942016601562e+01,4.963321983814239502e-02,2.294916659593582153e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.058057975769042969e+01,4.993374273180961609e-02,2.008124142885208130e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.992657852172851562e+01,5.383327975869178772e-02,1.938824653625488281e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.063658714294433594e+01,6.304818391799926758e-02,2.000610530376434326e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.199282455444335938e+01,6.403474509716033936e-02,2.135247737169265747e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.835838508605957031e+01,7.683165371417999268e-02,1.759006828069686890e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.997220611572265625e+01,7.543003559112548828e-02,1.921790540218353271e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.032324409484863281e+01,6.978378444910049438e-02,1.962540596723556519e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.998567008972167969e+01,8.239373564720153809e-02,1.916173398494720459e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.063066864013671875e+01,7.496184855699539185e-02,1.988105028867721558e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.113530921936035156e+01,8.015087246894836426e-02,2.033380120992660522e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.960197830200195312e+01,9.004771709442138672e-02,1.870150268077850342e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.887663650512695312e+01,7.543583214282989502e-02,1.812227815389633179e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.166779327392578125e+01,8.599250763654708862e-02,2.080786824226379395e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.956079483032226562e+01,9.544496238231658936e-02,1.860634386539459229e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.929010963439941406e+01,1.186567693948745728e-01,1.810354292392730713e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.878129196166992188e+01,1.091410964727401733e-01,1.768988072872161865e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.941437339782714844e+01,1.214060559868812561e-01,1.820031404495239258e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.951273727416992188e+01,1.237090528011322021e-01,1.827564537525177002e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.847853851318359375e+01,1.275843679904937744e-01,1.720269322395324707e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.776382255554199219e+01,1.348154544830322266e-01,1.641566902399063110e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.811714553833007812e+01,1.395042240619659424e-01,1.672210395336151123e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.925931167602539062e+01,1.425977200269699097e-01,1.783333420753479004e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.915932083129882812e+01,1.599107980728149414e-01,1.756021380424499512e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.840367698669433594e+01,1.796041429042816162e-01,1.660763472318649292e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.703631973266601562e+01,1.860352158546447754e-01,1.517596840858459473e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.665159797668457031e+01,1.969331502914428711e-01,1.468226611614227295e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.683802413940429688e+01,1.950532048940658569e-01,1.488749086856842041e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.504026889801025391e+01,2.208849042654037476e-01,1.283141970634460449e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.720278358459472656e+01,2.447574436664581299e-01,1.475520879030227661e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.525662040710449219e+01,2.616816163063049316e-01,1.263980418443679810e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.611123466491699219e+01,2.692712545394897461e-01,1.341852247714996338e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.573824501037597656e+01,2.464349716901779175e-01,1.327389478683471680e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.516206359863281250e+01,2.946386337280273438e-01,1.221567690372467041e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.339106464385986328e+01,3.135632276535034180e-01,1.025543212890625000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.365656089782714844e+01,3.162162005901336670e-01,1.049439907073974609e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.463372993469238281e+01,3.435879349708557129e-01,1.119785085320472717e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.354940414428710938e+01,3.199492096900939941e-01,1.034991294145584106e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.278002262115478516e+01,3.353905677795410156e-01,9.426116943359375000e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.389593505859375000e+01,3.841527700424194336e-01,1.005440726876258850e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.298732757568359375e+01,3.693702220916748047e-01,9.293624758720397949e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.235538768768310547e+01,4.067916870117187500e-01,8.287470787763595581e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.186040401458740234e+01,4.043517112731933594e-01,7.816886901855468750e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.077007484436035156e+01,3.861055076122283936e-01,6.909019500017166138e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.052670955657958984e+01,3.766990900039672852e-01,6.759718805551528931e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.058035278320312500e+01,4.622223377227783203e-01,5.958129465579986572e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.043347358703613281e+01,4.315562546253204346e-01,6.117910891771316528e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.863729476928710938e+00,4.175440967082977295e-01,5.688288062810897827e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.204624176025390625e+00,4.870632290840148926e-01,4.333991929888725281e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.036506652832031250e+00,4.906327426433563232e-01,4.130179435014724731e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.728879928588867188e+00,4.303156137466430664e-01,4.425723850727081299e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.464656829833984375e+00,4.409509897232055664e-01,4.055147245526313782e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.090470314025878906e+00,4.712050557136535645e-01,3.378419950604438782e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.780342102050781250e+00,4.326904118061065674e-01,3.453437983989715576e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.426051139831542969e+00,4.263701140880584717e-01,3.162350505590438843e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.401369571685791016e+00,4.747137725353240967e-01,2.654232084751129150e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.782086372375488281e+00,4.286258816719055176e-01,2.495827898383140564e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.852809906005859375e+00,3.840965926647186279e-01,2.011844143271446228e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.971932888031005859e+00,4.920971393585205078e-01,2.050961554050445557e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.275622844696044922e+00,4.411461353302001953e-01,1.864161342382431030e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.681014537811279297e+00,4.933035373687744141e-01,1.747979037463665009e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.790860176086425781e+00,4.063943624496459961e-01,1.726916246116161346e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.151480197906494141e+00,4.645934700965881348e-01,1.505545526742935181e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.887301445007324219e+00,4.348237514495849609e-01,1.539064105600118637e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.269280433654785156e+00,3.481773138046264648e-01,1.787507161498069763e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.832165241241455078e+00,4.171060323715209961e-01,1.661104708909988403e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.050493717193603516e+00,3.298502564430236816e-01,1.751991361379623413e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.993904113769531250e+00,3.145745992660522461e-01,1.848157867789268494e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.917181015014648438e+00,3.219533264636993408e-01,1.697647944092750549e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.303643226623535156e+00,3.545878827571868896e-01,1.757764443755149841e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.176830291748046875e+00,2.614419162273406982e-01,1.562411338090896606e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.334468364715576172e+00,2.887392938137054443e-01,1.447075325995683670e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.832524299621582031e+00,3.376656770706176758e-01,1.455867476761341095e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.055155754089355469e+00,2.634006440639495850e-01,1.421149075031280518e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.695981502532958984e+00,3.362393975257873535e-01,1.333587709814310074e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.173142433166503906e+00,2.885291576385498047e-01,1.287851016968488693e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.056982040405273438e+00,2.793768644332885742e-01,1.263213343918323517e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.480376243591308594e+00,3.282278776168823242e-01,1.198097225278615952e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.374884605407714844e+00,3.194885849952697754e-01,1.179999113082885742e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.682420969009399414e+00,2.400693297386169434e-01,1.281727571040391922e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.312673091888427734e+00,2.961286306381225586e-01,1.351386681199073792e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.852924346923828125e+00,2.456443011760711670e-01,1.396481320261955261e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.059025764465332031e+00,2.582822442054748535e-01,1.476203463971614838e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.779702425003051758e+00,2.358957678079605103e-01,1.420744694769382477e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.893129825592041016e+00,2.521797120571136475e-01,1.371332723647356033e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.488279819488525391e+00,1.952740550041198730e-01,1.535539235919713974e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.944945335388183594e+00,2.359494119882583618e-01,1.585450954735279083e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.957622051239013672e+00,2.478084862232208252e-01,1.479537319391965866e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.019916534423828125e+00,2.635791003704071045e-01,1.384125370532274246e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.172155857086181641e+00,2.607697546482086182e-01,1.564458385109901428e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.770550727844238281e+00,2.368279695510864258e-01,1.402270887047052383e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.731810331344604492e+00,2.261139154434204102e-01,1.470671128481626511e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.183107852935791016e+00,2.902742028236389160e-01,1.280365884304046631e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.564490556716918945e+00,2.307992875576019287e-01,1.256497576832771301e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.798027515411376953e+00,2.535756826400756836e-01,1.262270752340555191e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.487643957138061523e+00,2.074038982391357422e-01,1.413604989647865295e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.293214321136474609e+00,2.710867524147033691e-01,1.582346856594085693e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.432583093643188477e+00,1.968038678169250488e-01,1.464544422924518585e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.873232126235961914e+00,2.052074521780014038e-01,1.821157708764076233e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.031747341156005859e+00,2.326168566942214966e-01,1.705578714609146118e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.400479793548583984e+00,1.932270675897598267e-01,1.468209270387887955e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.573200702667236328e+00,2.103405892848968506e-01,1.469794847071170807e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.422801256179809570e+00,2.088613808155059814e-01,1.334187481552362442e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.857106685638427734e+00,2.381407022476196289e-01,1.475699804723262787e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.168486595153808594e+00,1.834226250648498535e-01,1.334260404109954834e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.684936523437500000e+00,2.296808362007141113e-01,1.388128288090229034e-02,0.000000000000000000e+00,0.000000000000000000e+00
